system,basis,label,N,variant,raw_dim,eff_dim,E_R11,E_kron,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-1.562412558867492,-2.233368774170681,0.6709562153031889,0.6645654949202804,0.006390720382908555
H2+H2,sto-3g,STO-3G,1,joint,1,1,-1.562412558867492,-2.233368774170681,0.6709562153031889,0.6645654949202804,0.006390720382908555
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-1.5983178106299132,-2.2745403493218044,0.6762225386918912,0.6645654949202804,0.011657043771610809
H2+H2,sto-3g,STO-3G,2,joint,2,2,-1.5913616188585449,-2.2740162366827867,0.6826546178242419,0.6645654949202804,0.018089122903961474
H2+H2,sto-3g,STO-3G,3,cross_product,9,9,-1.6091214135842842,-2.274540349321805,0.6654189357375206,0.6645654949202804,0.0008534408172402586
H2+H2,sto-3g,STO-3G,3,joint,3,3,-1.6044659213361774,-2.2745403493218057,0.6700744279856283,0.6645654949202804,0.005508933065347943
H2+H2,sto-3g,STO-3G,4,cross_product,16,15,-1.609878953675687,-2.274540349321804,0.6646613956461169,0.6645654949202804,9.590072583653964e-05
H2+H2,sto-3g,STO-3G,4,joint,4,4,-1.6089465490835622,-2.2745403493218035,0.6655938002382413,0.6645654949202804,0.0010283053179609425
H2+H2,sto-3g,STO-3G,5,cross_product,25,18,-1.6099644210277484,-2.2745403493218035,0.6645759282940551,0.6645654949202804,1.0433373774709764e-05
H2+H2,sto-3g,STO-3G,5,joint,5,5,-1.6096465381425906,-2.2745403493218053,0.6648938111792146,0.6645654949202804,0.0003283162589342581
H2+H2,sto-3g,STO-3G,6,cross_product,36,20,-1.6099748544002024,-2.274540349321806,0.6645654949216038,0.6645654949202804,1.3233858453531866e-12
H2+H2,sto-3g,STO-3G,6,joint,6,6,-1.6099095930938354,-2.2745403493218035,0.6646307562279681,0.6645654949202804,6.526130768769178e-05
H2+H2,sto-3g,STO-3G,7,cross_product,49,20,-1.6099748544018482,-2.274540349321803,0.6645654949199549,0.6645654949202804,3.255173908200959e-13
H2+H2,sto-3g,STO-3G,7,joint,7,7,-1.6099523808832314,-2.274540349321805,0.6645879684385734,0.6645654949202804,2.2473518292986938e-05
H2+H2,sto-3g,STO-3G,8,cross_product,64,20,-1.6099748544014965,-2.2745403493218053,0.6645654949203088,0.6645654949202804,2.842170943040401e-14
H2+H2,sto-3g,STO-3G,8,joint,8,8,-1.6099739254971137,-2.2745403493218053,0.6645664238246916,0.6645654949202804,9.289044111682188e-07
H2+H2,6-31g,6-31G,1,cross_product,1,1,-1.7019948888393177,-2.253467934233136,0.5514730453938181,0.5408354480361588,0.010637597357659345
H2+H2,6-31g,6-31G,1,joint,1,1,-1.7019948888393177,-2.253467934233136,0.5514730453938181,0.5408354480361588,0.010637597357659345
H2+H2,6-31g,6-31G,2,cross_product,4,4,-1.7490197216697938,-2.296389027742036,0.547369306072242,0.5408354480361588,0.0065338580360831955
H2+H2,6-31g,6-31G,2,joint,2,2,-1.7431476481010435,-2.2959845390545137,0.5528368909534702,0.5408354480361588,0.012001442917311422
H2+H2,6-31g,6-31G,3,cross_product,9,8,-1.7573495319435128,-2.302532928223882,0.5451833962803692,0.5408354480361588,0.0043479482442103645
H2+H2,6-31g,6-31G,3,joint,3,3,-1.7543773981021058,-2.3019177439137386,0.5475403458116328,0.5408354480361588,0.006704897775474006
H2+H2,6-31g,6-31G,4,cross_product,16,11,-1.7604068946127294,-2.3033632529344428,0.5429563583217134,0.5408354480361588,0.0021209102855546114
H2+H2,6-31g,6-31G,4,joint,4,4,-1.7585756125616623,-2.3028974584655004,0.5443218459038381,0.5408354480361588,0.0034863978676793472
H2+H2,6-31g,6-31G,5,cross_product,25,13,-1.7606793319086966,-2.3033654498002414,0.5426861178915448,0.5408354480361588,0.0018506698553859557
H2+H2,6-31g,6-31G,5,joint,5,5,-1.760642342645438,-2.303307528539493,0.5426651858940548,0.5408354480361588,0.0018297378578959744
H2+H2,6-31g,6-31G,6,cross_product,36,15,-1.7607666687852843,-2.303365457435222,0.5425987886499377,0.5408354480361588,0.0017633406137789187
H2+H2,6-31g,6-31G,6,joint,6,5,-1.760626298314894,-2.3033626768873567,0.5427363785724628,0.5408354480361588,0.001900930536304024
