system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-2.233368774170681,0.04117157515112435,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,1,joint,1,1,-2.233368774170681,0.04117157515112435,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-2.274540349321806,8.881784197001252e-16,-8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,2,joint,2,2,-2.2740080022264526,0.0005323470953526588,0.0005323470953526588,0.0,0.0005323470953526588
H2+H2,sto-3g,STO-3G,3,cross_product,9,4,-2.2745403493218044,8.881784197001252e-16,8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,3,joint,3,3,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,4,cross_product,16,4,-2.2745403493218044,8.881784197001252e-16,8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,4,joint,4,3,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,5,cross_product,25,4,-2.2745403493218066,1.3322676295501878e-15,-1.3322676295501878e-15,0.0,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,5,joint,5,3,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,cross_product,36,4,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,joint,6,3,-2.2745403493218057,4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,7,cross_product,49,4,-2.2745403493218066,1.3322676295501878e-15,-1.3322676295501878e-15,0.0,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,7,joint,7,3,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,8,cross_product,64,4,-2.2745403493218026,2.6645352591003757e-15,2.6645352591003757e-15,0.0,2.6645352591003757e-15
H2+H2,sto-3g,STO-3G,8,joint,8,3,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.2534679342331354,0.049897529986649314,0.04989752998664665,-2.6645352591003757e-15,0.049897529986649314
H2+H2,6-31g,6-31G,1,joint,1,1,-2.2534679342331354,0.049897529986649314,0.04989752998664665,-2.6645352591003757e-15,0.049897529986649314
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.295310779925542,0.008054684294242609,0.008054684294239944,-2.6645352591003757e-15,0.008054684294242609
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2949056601089692,0.008459804110815483,0.008459804110812819,-2.6645352591003757e-15,0.008459804110815483
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.302242788763527,0.0011226754562576602,0.0011226754562549957,-2.6645352591003757e-15,0.0011226754562576602
H2+H2,6-31g,6-31G,3,joint,3,3,-2.3017428920018466,0.0016225722179381563,0.0016225722179354918,-2.6645352591003757e-15,0.0016225722179381563
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.30336194210189,3.52211789467205e-06,3.5221178920075147e-06,-2.6645352591003757e-15,3.52211789467205e-06
H2+H2,6-31g,6-31G,4,joint,4,4,-2.302766280396854,0.0005991838229308932,0.0005991838229282287,-2.6645352591003757e-15,0.0005991838229308932
H2+H2,6-31g,6-31G,5,cross_product,25,24,-2.3033654590151698,5.204614961229481e-09,5.204612296694222e-09,-2.6645352591003757e-15,5.204614961229481e-09
H2+H2,6-31g,6-31G,5,joint,5,5,-2.3032679058890873,9.7558330697467e-05,9.755833069480246e-05,-2.6645352591003757e-15,9.7558330697467e-05
H2+H2,6-31g,6-31G,6,cross_product,36,26,-2.303365464179117,4.0667913481229334e-11,4.0665248945970234e-11,-2.6645352591003757e-15,4.0667913481229334e-11
H2+H2,6-31g,6-31G,6,joint,6,6,-2.3033463362391204,1.9127980664279676e-05,1.912798066161514e-05,-2.6645352591003757e-15,1.9127980664279676e-05
