system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-2.233368774170681,0.04117157515112435,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,1,joint,1,1,-2.233368774170681,0.04117157515112435,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-2.2745403493218044,8.881784197001252e-16,8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,2,joint,2,2,-2.2740162366827867,0.0005241126390185258,0.0005241126390185258,0.0,0.0005241126390185258
H2+H2,sto-3g,STO-3G,3,cross_product,9,4,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,3,joint,3,3,-2.2745403493218057,4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,4,cross_product,16,4,-2.274540349321804,1.3322676295501878e-15,1.3322676295501878e-15,0.0,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,4,joint,4,3,-2.2745403493218035,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,5,cross_product,25,4,-2.2745403493218035,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,5,joint,5,3,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,6,cross_product,36,4,-2.274540349321806,8.881784197001252e-16,-8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,6,joint,6,3,-2.2745403493218035,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,7,cross_product,49,4,-2.274540349321803,2.220446049250313e-15,2.220446049250313e-15,0.0,2.220446049250313e-15
H2+H2,sto-3g,STO-3G,7,joint,7,3,-2.274540349321805,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,8,cross_product,64,4,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,8,joint,8,3,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.253467934233135,0.04989752998664532,0.04989752998664576,4.440892098500626e-16,0.04989752998664532
H2+H2,6-31g,6-31G,1,joint,1,1,-2.253467934233135,0.04989752998664532,0.04989752998664576,4.440892098500626e-16,0.04989752998664532
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.296389027742038,0.006976436477742265,0.006976436477742709,4.440892098500626e-16,0.006976436477742265
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2959845390545137,0.007380925165266561,0.007380925165267005,4.440892098500626e-16,0.007380925165266561
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.3025329282238776,0.0008325359959027168,0.0008325359959031609,4.440892098500626e-16,0.0008325359959027168
H2+H2,6-31g,6-31G,3,joint,3,3,-2.301917743913738,0.0014477203060421218,0.0014477203060425659,4.440892098500626e-16,0.0014477203060421218
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.303363252934892,2.211284888087306e-06,2.211284888531395e-06,4.440892098500626e-16,2.211284888087306e-06
H2+H2,6-31g,6-31G,4,joint,4,4,-2.3028974584654964,0.00046800575428385116,0.00046800575428429525,4.440892098500626e-16,0.00046800575428385116
H2+H2,6-31g,6-31G,5,cross_product,25,20,-2.303365449800205,1.4419575311563904e-08,1.4419575755653113e-08,4.440892098500626e-16,1.4419575311563904e-08
H2+H2,6-31g,6-31G,5,joint,5,5,-2.3033075285394955,5.793568028478191e-05,5.7935680285226e-05,4.440892098500626e-16,5.793568028478191e-05
H2+H2,6-31g,6-31G,6,cross_product,36,22,-2.303365457435238,6.784542261328852e-09,6.784542705418062e-09,4.440892098500626e-16,6.784542261328852e-09
H2+H2,6-31g,6-31G,6,joint,6,6,-2.303362676887359,2.7873324213167905e-06,2.7873324217608797e-06,4.440892098500626e-16,2.7873324213167905e-06
