system,basis,label,N,variant,raw_dim,eff_dim,E_R11,E_kron,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.1771768052992817,-3.2153783881844946,0.038201582885212915,0.03865873856394364,0.00045715567873072516
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.1771768052992817,-3.2153783881844946,0.038201582885212915,0.03865873856394364,0.00045715567873072516
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.2355772882905454,-3.2685668960130667,0.03298960772252135,0.03865873856394364,0.005669130841422287
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.2290408082476647,-3.266938911086532,0.03789810283886741,0.03865873856394364,0.0007606357250762308
H2+H4,sto-3g,STO-3G,3,cross_product,9,9,-3.2378646693452877,-3.2747540017702077,0.036889332424919985,0.03865873856394364,0.0017694061390236548
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.236146957672468,-3.2744787852458574,0.038331827573389265,0.03865873856394364,0.00032691099055437434
H2+H4,sto-3g,STO-3G,4,cross_product,16,15,-3.238318613465405,-3.2763801937920705,0.03806158032666529,0.03865873856394364,0.0005971582372783502
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.2376794872472567,-3.2761190688769792,0.0384395816297225,0.03865873856394364,0.00021915693422114302
H2+H4,sto-3g,STO-3G,5,cross_product,25,19,-3.238388173541865,-3.276806774721797,0.03841860117993212,0.03865873856394364,0.0002401373840115184
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2381765125938076,-3.2766767898583256,0.03850027726451799,0.03865873856394364,0.00015846129942564957
H2+H4,sto-3g,STO-3G,6,cross_product,36,23,-3.238397531224046,-3.2770010391815494,0.038603507957503336,0.03865873856394364,5.5230606440304086e-05
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.238339580155098,-3.276948662561193,0.03860908240609495,0.03865873856394364,4.96561578486876e-05
H2+H4,sto-3g,STO-3G,7,cross_product,49,27,-3.2384066494456087,-3.2770469960871504,0.0386403466415417,0.03865873856394364,1.8391922401939098e-05
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.2383881395874488,-3.277003948658144,0.038615809070695395,0.03865873856394364,4.292949324824491e-05
H2+H4,sto-3g,STO-3G,8,cross_product,64,30,-3.2384093721749503,-3.2770681909160304,0.038658818741080125,0.03865873856394364,8.017713648555969e-08
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.2384029505166945,-3.277029836167023,0.03862688565032846,0.03865873856394364,3.185291361518239e-05
