system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.215378388184495,0.06169143119903042,0.061691431199021984,-8.43769498715119e-15,0.06169143119903042
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.215378388184495,0.06169143119903042,0.061691431199021984,-8.43769498715119e-15,0.06169143119903042
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.26856689601307,0.008502923370455662,0.008502923370447224,-8.43769498715119e-15,0.008502923370455662
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.2669389110865334,0.010130908296992036,0.010130908296983598,-8.43769498715119e-15,0.010130908296992036
H2+H4,sto-3g,STO-3G,3,cross_product,9,6,-3.2747540017702077,0.0023158176133177832,0.0023158176133093455,-8.43769498715119e-15,0.0023158176133177832
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2744787852458597,0.0025910341376658153,0.0025910341376573776,-8.43769498715119e-15,0.0025910341376658153
H2+H4,sto-3g,STO-3G,4,cross_product,16,8,-3.276380193792071,0.000689625591454579,0.0006896255914461413,-8.43769498715119e-15,0.000689625591454579
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.276119068876982,0.0009507505065435851,0.0009507505065351474,-8.43769498715119e-15,0.0009507505065435851
H2+H4,sto-3g,STO-3G,5,cross_product,25,10,-3.2768067747217935,0.0002630446617319926,0.0002630446617235549,-8.43769498715119e-15,0.0002630446617319926
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2766767898583247,0.00039302952520081647,0.00039302952519237877,-8.43769498715119e-15,0.00039302952520081647
H2+H4,sto-3g,STO-3G,6,cross_product,36,12,-3.2770010391815516,6.878020197387258e-05,6.878020196543488e-05,-8.43769498715119e-15,6.878020197387258e-05
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.2769486625611943,0.00012115682233115876,0.00012115682232272107,-8.43769498715119e-15,0.00012115682233115876
H2+H4,sto-3g,STO-3G,7,cross_product,49,14,-3.2770469960871513,2.282329637415259e-05,2.2823296365714896e-05,-8.43769498715119e-15,2.282329637415259e-05
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.2770039486581437,6.587072538177807e-05,6.587072537334038e-05,-8.43769498715119e-15,6.587072538177807e-05
H2+H4,sto-3g,STO-3G,8,cross_product,64,16,-3.27706819091603,1.6284674955180378e-06,1.6284674870803428e-06,-8.43769498715119e-15,1.6284674955180378e-06
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.2770298361670256,3.998321649989478e-05,3.9983216491457085e-05,-8.43769498715119e-15,3.998321649989478e-05
H2+H4,6-31g,6-31G,1,cross_product,1,1,-3.27322058435266,0.0780124442843757,0.07801244428435083,-2.4868995751603507e-14,0.0780124442843757
H2+H4,6-31g,6-31G,1,joint,1,1,-3.27322058435266,0.0780124442843757,0.07801244428435083,-2.4868995751603507e-14,0.0780124442843757
H2+H4,6-31g,6-31G,2,cross_product,4,4,-3.337946977059359,0.013286051577676705,0.013286051577651836,-2.4868995751603507e-14,0.013286051577676705
H2+H4,6-31g,6-31G,2,joint,2,2,-3.3369993586374256,0.014233669999609955,0.014233669999585086,-2.4868995751603507e-14,0.014233669999609955
H2+H4,6-31g,6-31G,3,cross_product,9,9,-3.3475515395493822,0.0036814890876533113,0.0036814890876284423,-2.4868995751603507e-14,0.0036814890876533113
H2+H4,6-31g,6-31G,3,joint,3,3,-3.346544194371157,0.0046888342658784055,0.0046888342658535365,-2.4868995751603507e-14,0.0046888342658784055
H2+H4,6-31g,6-31G,4,cross_product,16,16,-3.3498491465326232,0.001383882104412315,0.001383882104387446,-2.4868995751603507e-14,0.001383882104412315
H2+H4,6-31g,6-31G,4,joint,4,4,-3.349372289500383,0.0018607391366525228,0.0018607391366276538,-2.4868995751603507e-14,0.0018607391366525228
