system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-2.233368774170681,-2.2745403493218053,0.0,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,1,joint,1,1,-2.233368774170681,-2.2745403493218053,0.0,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-2.274540349321806,-2.2745403493218053,-8.881784197001252e-16,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,2,joint,2,2,-2.2740080022264526,-2.2745403493218053,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588
H2+H2,sto-3g,STO-3G,3,cross_product,9,4,-2.2745403493218044,-2.2745403493218053,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,3,joint,3,3,-2.274540349321805,-2.2745403493218053,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,4,cross_product,16,4,-2.2745403493218044,-2.2745403493218053,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,4,joint,4,3,-2.2745403493218053,-2.2745403493218053,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0
H2+H2,sto-3g,STO-3G,5,cross_product,25,4,-2.2745403493218066,-2.2745403493218053,-2.6645352591003757e-15,-1.3322676295501878e-15,2.6645352591003757e-15,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,5,joint,5,3,-2.274540349321805,-2.2745403493218053,-8.881784197001252e-16,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,cross_product,36,4,-2.274540349321805,-2.2745403493218053,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,joint,6,3,-2.2745403493218057,-2.2745403493218053,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,7,cross_product,49,4,-2.2745403493218066,-2.2745403493218053,-1.3322676295501878e-15,-1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,7,joint,7,3,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,8,cross_product,64,4,-2.2745403493218026,-2.2745403493218053,1.7763568394002505e-15,2.6645352591003757e-15,1.7763568394002505e-15,2.6645352591003757e-15
H2+H2,sto-3g,STO-3G,8,joint,8,3,-2.274540349321805,-2.2745403493218053,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.253467934233135,-2.3033654642197834,0.0,0.049897529986648426,0.0,0.049897529986648426
H2+H2,6-31g,6-31G,1,joint,1,1,-2.253467934233135,-2.3033654642197834,0.0,0.049897529986648426,0.0,0.049897529986648426
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.295310779925541,-2.3033654642197834,4.440892098500626e-16,0.008054684294242609,4.440892098500626e-16,0.008054684294242609
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2949056601089683,-2.3033654642197834,0.0004051198165728742,0.008459804110815039,0.0004051198165728742,0.008459804110815039
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.302242788763529,-2.3033654642197834,-3.1086244689504383e-15,0.0011226754562545516,3.1086244689504383e-15,0.0011226754562545516
H2+H2,6-31g,6-31G,3,joint,3,3,-2.301742892001843,-2.3033654642197834,0.0004998967616827166,0.0016225722179403768,0.0004998967616827166,0.0016225722179403768
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.3033619421018887,-2.3033654642197834,8.881784197001252e-16,3.52211789467205e-06,8.881784197001252e-16,3.52211789467205e-06
H2+H2,6-31g,6-31G,4,joint,4,4,-2.3027662803968556,-2.3033654642197834,0.0005956617050340007,0.0005991838229277846,0.0005956617050340007,0.0005991838229277846
H2+H2,6-31g,6-31G,5,cross_product,25,24,-2.303365459015171,-2.3033654642197834,8.928857653245359e-12,5.204612296694222e-09,8.928857653245359e-12,5.204612296694222e-09
H2+H2,6-31g,6-31G,5,joint,5,5,-2.3032679058890855,-2.3033654642197834,9.755313501447205e-05,9.755833069791109e-05,9.755313501447205e-05,9.755833069791109e-05
H2+H2,6-31g,6-31G,6,cross_product,36,26,-2.3033654641791053,-2.3033654642197834,4.0672354373327835e-11,4.0678127533055886e-11,4.0672354373327835e-11,4.0678127533055886e-11
H2+H2,6-31g,6-31G,6,joint,6,6,-2.3033463362391204,-2.3033654642197834,1.912798065717425e-05,1.9127980662947408e-05,1.912798065717425e-05,1.9127980662947408e-05
H2+H2,6-31g,6-31G,7,cross_product,49,31,-2.3033654642180323,-2.3033654642197834,1.7505996652289468e-12,1.7510437544387969e-12,1.7505996652289468e-12,1.7510437544387969e-12
H2+H2,6-31g,6-31G,7,joint,7,7,-2.303359983363973,-2.3033654642197834,5.480855810091612e-06,5.480855810535701e-06,5.480855810091612e-06,5.480855810535701e-06
H2+H2,6-31g,6-31G,8,cross_product,64,33,-2.3033654642194796,-2.3033654642197834,3.006483950684924e-13,3.0375701953744283e-13,3.006483950684924e-13,3.0375701953744283e-13
H2+H2,6-31g,6-31G,8,joint,8,8,-2.303365278936244,-2.3033654642197834,1.8528353606939163e-07,1.852835391780161e-07,1.8528353606939163e-07,1.852835391780161e-07
