system,basis,label,N,variant,raw_dim,eff_dim_11,eff_dim_1000,eff_dim_kron,E_R11,E_R1000,E_kron,E_mono_sum,C_mono,C_rdiff,gap_identity,delta_exact,err_vs_exact_mono,err_vs_exact_rdiff,E_1000_vs_2Emono,E_kron_vs_2Emono,dt_11,dt_1000
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,1,1,0.4736572021426444,0.9185006613374362,0.9185006613374316,0.9185006613374316,-0.4448434591947872,-0.44484345919479185,4.6629367034256575e-15,-0.6710236015315423,0.2261801423367551,0.22618014233675043,4.6629367034256575e-15,0.0,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,1,joint,1,1,1,1,0.4736572021426444,0.9185006613374362,0.9185006613374316,0.9185006613374316,-0.4448434591947872,-0.44484345919479185,4.6629367034256575e-15,-0.6710236015315423,0.2261801423367551,0.22618014233675043,4.6629367034256575e-15,0.0,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,4,4,-1.1486907608490102,-2.274540349321571,-2.2745403493219323,-2.274540349321814,1.125849588472804,1.1258495884725606,2.433608869978343e-13,-0.6710236015315423,1.7968731900043462,1.7968731900041028,2.433608869978343e-13,-1.1812772982011666e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,2,joint,2,2,2,2,-0.7011070422285868,-0.6654175193898693,-0.6654175193898761,-2.274540349321814,1.5734333070932274,-0.03568952283871751,1.6091228299319449,-0.6710236015315423,2.2444569086247697,0.6353340786928248,1.6091228299319449,1.609122829931938,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,3,cross_product,9,9,4,4,-2.8970546845782157,-2.2745403493219722,-2.2745403493217244,-2.274540349321803,-0.6225143352564126,-0.6225143352562434,1.6919798895287386e-13,-0.6710236015315423,0.04850926627512964,0.048509266275298835,-1.6919798895287386e-13,7.860379014346108e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,3,joint,3,3,3,3,-1.133413215536516,-2.274540349321568,-2.27454034932136,-2.274540349321803,1.141127133785287,1.1411271337850522,2.349231920106831e-13,-0.6710236015315423,1.8121507353168294,1.8121507353165944,2.349231920106831e-13,4.432010314303625e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,4,cross_product,16,10,4,4,-2.9455639508530895,-2.2745403493218745,-2.274540349321933,-2.2745403493218075,-0.671023601531282,-0.671023601531215,6.705747068735946e-14,-0.6710236015315423,2.602362769721367e-13,3.2729374765949615e-13,-6.705747068735946e-14,-1.2567724638756772e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,4,joint,4,4,3,3,-2.074636511415806,-2.274540349321366,-2.2745403493219096,-2.2745403493218075,0.1999038379060014,0.19990383790556,4.4142467459096224e-13,-0.6710236015315423,0.8709274394375437,0.8709274394371023,4.4142467459096224e-13,-1.021405182655144e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,5,cross_product,25,10,4,4,-2.9455639508532956,-2.2745403493217724,-2.274540349321867,-2.274540349321802,-0.6710236015314934,-0.6710236015315232,2.9753977059954195e-14,-0.6710236015315423,4.884981308350689e-14,1.9095836023552692e-14,2.9753977059954195e-14,-6.483702463810914e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,5,joint,5,5,3,3,-2.716844533658236,-2.274540349321553,-2.274540349321988,-2.274540349321802,-0.4423041843364337,-0.44230418433668284,2.4913404672588513e-13,-0.6710236015315423,0.22871941719510858,0.22871941719485944,2.4913404672588513e-13,-1.8562928971732617e-13,1.0665504826943772,1.3811989110355924
