basis,label,N,gap_cross_product,E1000_minus_2Em_cross_product,gap_joint,E1000_minus_2Em_joint
sto-3g,STO-3G,1,4.6629367034256575e-15,4.6629367034256575e-15,4.6629367034256575e-15,4.6629367034256575e-15
sto-3g,STO-3G,2,2.433608869978343e-13,2.433608869978343e-13,1.6091228299319449,1.6091228299319449
sto-3g,STO-3G,3,1.6919798895287386e-13,-1.6919798895287386e-13,2.349231920106831e-13,2.349231920106831e-13
sto-3g,STO-3G,4,6.705747068735946e-14,-6.705747068735946e-14,4.4142467459096224e-13,4.4142467459096224e-13
sto-3g,STO-3G,5,2.9753977059954195e-14,2.9753977059954195e-14,2.4913404672588513e-13,2.4913404672588513e-13
sto-3g,STO-3G,6,1.1546319456101628e-14,1.1546319456101628e-14,1.2656542480726785e-13,1.2656542480726785e-13
sto-3g,STO-3G,7,8.881784197001252e-15,-8.881784197001252e-15,2.2115642650533118e-13,2.2115642650533118e-13
sto-3g,STO-3G,8,1.3766765505351941e-14,-1.3766765505351941e-14,1.816324868286756e-13,-1.816324868286756e-13
sto-3g,STO-3G,9,3.1086244689504383e-15,-3.1086244689504383e-15,1.1945999744966684e-13,-1.1945999744966684e-13
sto-3g,STO-3G,10,1.7763568394002505e-14,-1.7763568394002505e-14,6.972200594645983e-14,-6.972200594645983e-14
6-31g,6-31G,1,3.1441516057384433e-13,3.1441516057384433e-13,3.1441516057384433e-13,3.1441516057384433e-13
6-31g,6-31G,2,7.976035387713409e-10,-7.976036220380678e-10,1.9117104787652124,1.9117104787652124
6-31g,6-31G,3,5.234175315393941e-10,-5.234175315393941e-10,2.525340501832937,2.525340501832937
6-31g,6-31G,4,1.551208494987577e-09,-1.551208494987577e-09,2.7277130064606627,2.7277130064606627
6-31g,6-31G,5,1.1188331791700534e-05,1.1188331791700534e-05,1.4927856177108847,1.492785617710885
6-31g,6-31G,6,0.0001030370940164893,0.0001030370940164893,1.0807882408269105,1.0807882408269105
6-31g,6-31G,7,2.6739389022978344e-06,2.6739389022978344e-06,0.8890638747817441,0.8890638747817441
6-31g,6-31G,8,5.892932364304215e-08,5.892932364304215e-08,0.1641659245121807,0.1641659245121807
6-31g,6-31G,9,1.7089011272730659e-07,1.7089011272730659e-07,0.019885771994431867,0.019885771994431867
6-31g,6-31G,10,1.2784884262373453e-11,1.2784884262373453e-11,0.0015710327420181969,0.0015710327420181969
