basis,label,N,gap_cp,gap_joint,joint_gt_cp
sto-3g,STO-3G,1,1.7763568394002505e-15,1.7763568394002505e-15,False
sto-3g,STO-3G,2,5.773159728050814e-15,0.0005215170567844929,True
sto-3g,STO-3G,3,8.881784197001252e-16,8.881784197001252e-16,False
sto-3g,STO-3G,4,2.6645352591003757e-15,2.6645352591003757e-15,False
sto-3g,STO-3G,5,2.220446049250313e-15,1.3322676295501878e-15,False
sto-3g,STO-3G,6,3.552713678800501e-15,1.7763568394002505e-15,False
sto-3g,STO-3G,7,5.329070518200751e-15,0.0,False
sto-3g,STO-3G,8,3.552713678800501e-15,4.440892098500626e-15,True
6-31g,6-31G,1,5.329070518200751e-15,5.329070518200751e-15,False
6-31g,6-31G,2,0.0034519398897385756,0.0004400887856617075,False
6-31g,6-31G,3,0.0003854449552824768,0.000671245555202038,True
6-31g,6-31G,4,5.262355451707279e-05,0.00033346473553175215,True
6-31g,6-31G,5,4.162605917690243e-05,3.482984072133988e-05,False
6-31g,6-31G,6,5.84944197079551e-07,3.562437248127992e-05,True
