system,basis,label,active,subtraction,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,full,monomers,1,uab,1,1,-3.173329357126457,0.06047208061559317,0.09951127701970996,0.039039196404116794,0.06047208061559317
H2+H4,sto-3g,STO-3G,full,monomers,1,joint,1,1,-3.173329357126457,0.06047208061559317,0.09951127701970996,0.039039196404116794,0.06047208061559317
H2+H4,sto-3g,STO-3G,full,monomers,1,novel,1,1,-3.173329357126457,0.06047208061559317,0.09951127701970996,0.039039196404116794,0.06047208061559317
H2+H4,sto-3g,STO-3G,full,monomers,2,uab,4,4,-3.2309992282769002,0.002802209465150085,0.04184140586926688,0.039039196404116794,0.002802209465150085
H2+H4,sto-3g,STO-3G,full,monomers,2,joint,2,2,-3.2245476928570174,0.009253744885032944,0.04829294128914974,0.039039196404116794,0.009253744885032944
H2+H4,sto-3g,STO-3G,full,monomers,2,novel,4,4,-3.2257450065188245,0.008056431223225857,0.04709562762734265,0.039039196404116794,0.008056431223225857
H2+H4,sto-3g,STO-3G,full,monomers,3,uab,9,9,-3.2332621865631435,0.0005392511789068521,0.039578447583023646,0.039039196404116794,0.0005392511789068521
H2+H4,sto-3g,STO-3G,full,monomers,3,joint,3,3,-3.2315763756719775,0.002225062070072781,0.041264258474189575,0.039039196404116794,0.002225062070072781
H2+H4,sto-3g,STO-3G,full,monomers,3,novel,9,9,-3.231572927478375,0.0022285102636754317,0.041267706667792226,0.039039196404116794,0.0022285102636754317
H2+H4,sto-3g,STO-3G,full,monomers,4,uab,16,15,-3.2337106155552107,9.082218683964527e-05,0.03913001859095644,0.039039196404116794,9.082218683964527e-05
H2+H4,sto-3g,STO-3G,full,monomers,4,joint,4,4,-3.2330844205333573,0.0007170172086929938,0.03975621361280979,0.039039196404116794,0.0007170172086929938
H2+H4,sto-3g,STO-3G,full,monomers,4,novel,16,14,-3.232682677547018,0.001118760195032209,0.040157956599149,0.039039196404116794,0.001118760195032209
H2+H4,sto-3g,STO-3G,full,monomers,5,uab,25,19,-3.2337789683054936,2.2469436556704636e-05,0.0390616658406735,0.039039196404116794,2.2469436556704636e-05
H2+H4,sto-3g,STO-3G,full,monomers,5,joint,5,5,-3.2335721776615287,0.0002292600805215983,0.03926845648463839,0.039039196404116794,0.0002292600805215983
H2+H4,sto-3g,STO-3G,full,monomers,5,novel,25,19,-3.23301895554075,0.000782482201300283,0.03982167860541708,0.039039196404116794,0.000782482201300283
H2+H4,sto-3g,STO-3G,full,monomers,6,uab,36,23,-3.2337883145262687,1.3123215781618569e-05,0.03905231961989841,0.039039196404116794,1.3123215781618569e-05
H2+H4,sto-3g,STO-3G,full,monomers,6,joint,6,6,-3.2337316666206437,6.977112140660324e-05,0.0391089675255234,0.039039196404116794,6.977112140660324e-05
H2+H4,sto-3g,STO-3G,full,monomers,6,novel,36,23,-3.2330627316509286,0.0007387060911216992,0.03977790249523849,0.039039196404116794,0.0007387060911216992
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,uab,1,1,-3.2361520785686313,0.024082271961242796,0.052941013568972295,0.0288587416077295,0.024082271961242796
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,joint,1,1,-3.2361520785686313,0.024082271961242796,0.052941013568972295,0.0288587416077295,0.024082271961242796
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,novel,1,1,-3.2361520785686313,0.024082271961242796,0.052941013568972295,0.0288587416077295,0.024082271961242796
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,uab,4,4,-3.2589208673438836,0.0013134831859904494,0.03017222479371995,0.0288587416077295,0.0013134831859904494
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,joint,2,2,-3.257426326715464,0.002808023814409921,0.03166676542213942,0.0288587416077295,0.002808023814409921
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,novel,4,4,-3.2581814634983033,0.0020528870315708048,0.030911628639300304,0.0288587416077295,0.0020528870315708048
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,uab,9,9,-3.2599380106865716,0.0002963398433024622,0.02915508145103196,0.0288587416077295,0.0002963398433024622
