system,basis,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,abs_vs_mono,abs_vs_dimer1000
H2+H2,6-31g,1000.0,1,uab,1,1,-2.2536187162559855,-2.3032286398830006,-2.2536187162559917,6.217248937900877e-15,0.04960992362701511,6.217248937900877e-15,0.04960992362701511,,6.217248937900877e-15,0.04960992362701511
H2+H2,6-31g,1000.0,1,joint,1,1,-2.2536187162559855,-2.3032286398830006,-2.2536187162559917,6.217248937900877e-15,0.04960992362701511,6.217248937900877e-15,0.04960992362701511,,6.217248937900877e-15,0.04960992362701511
H2+H2,6-31g,1000.0,1,novel,1,1,-2.2536187162559855,-2.3032286398830006,-2.2536187162559917,6.217248937900877e-15,0.04960992362701511,6.217248937900877e-15,0.04960992362701511,,6.217248937900877e-15,0.04960992362701511
H2+H2,6-31g,1000.0,2,uab,4,4,-2.3013312310505887,-2.3032286398830006,-2.2969103596750404,-0.004420871375548252,0.001897408832411962,0.004420871375548252,0.001897408832411962,,0.004420871375548252,0.001897408832411962
H2+H2,6-31g,1000.0,2,joint,2,2,-2.2965137432472904,-2.3032286398830006,-2.2969103596750404,0.0003966164277500184,0.006714896635710232,0.0003966164277500184,0.006714896635710232,,0.0003966164277500184,0.006714896635710232
H2+H2,6-31g,1000.0,2,novel,4,4,-2.297628740508319,-2.3032286398830006,-2.2969103596750404,-0.0007183808332786867,0.005599899374681527,0.0007183808332786867,0.005599899374681527,,0.0007183808332786867,0.005599899374681527
H2+H2,6-31g,1000.0,3,uab,9,8,-2.302885921181444,-2.3032286398830006,-2.3025395188327265,-0.0003464023487174117,0.00034271870155677675,0.0003464023487174117,0.00034271870155677675,,0.0003464023487174117,0.00034271870155677675
H2+H2,6-31g,1000.0,3,joint,3,3,-2.3018942443669657,-2.3032286398830006,-2.3025395188327265,0.0006452744657607923,0.0013343955160349807,0.0006452744657607923,0.0013343955160349807,,0.0006452744657607923,0.0013343955160349807
H2+H2,6-31g,1000.0,3,novel,9,8,-2.302525488441783,-2.3032286398830006,-2.3025395188327265,1.4030390943275961e-05,0.0007031514412174644,1.4030390943275961e-05,0.0007031514412174644,,1.4030390943275961e-05,0.0007031514412174644
H2+H2,6-31g,1000.0,4,uab,16,12,-2.30318103421034,-2.3032286398830006,-2.3032266279896403,4.559377930046793e-05,4.760567266082205e-05,4.559377930046793e-05,4.760567266082205e-05,,4.559377930046793e-05,4.760567266082205e-05
H2+H2,6-31g,1000.0,4,joint,4,4,-2.3028988597069375,-2.3032286398830006,-2.3032266279896403,0.00032776828270275615,0.0003297801760631103,0.00032776828270275615,0.0003297801760631103,,0.00032776828270275615,0.0003297801760631103
H2+H2,6-31g,1000.0,4,novel,16,13,-2.302734651369791,-2.3032286398830006,-2.3032266279896403,0.0004919766198492326,0.0004939885132095867,0.0004919766198492326,0.0004939885132095867,,0.0004919766198492326,0.0004939885132095867
H2+H2,6-31g,1000.0,5,uab,25,13,-2.3031900821691096,-2.3032286398830006,-2.3032265859201653,3.6503751055683153e-05,3.8557713891052003e-05,3.6503751055683153e-05,3.8557713891052003e-05,,3.6503751055683153e-05,3.8557713891052003e-05
H2+H2,6-31g,1000.0,5,joint,5,5,-2.303192061519729,-2.3032286398830006,-2.3032265859201653,3.452440043627547e-05,3.657836327164432e-05,3.452440043627547e-05,3.657836327164432e-05,,3.452440043627547e-05,3.657836327164432e-05
H2+H2,6-31g,1000.0,5,novel,25,14,-2.302793250043793,-2.3032286398830006,-2.3032265859201653,0.0004333358763721762,0.00043538983920754504,0.0004333358763721762,0.00043538983920754504,,0.0004333358763721762,0.00043538983920754504
H2+H2,6-31g,1000.0,6,uab,36,16,-2.30322574577223,-2.3032286398830006,-2.30322653327461,7.875023797510039e-07,2.89411077059043e-06,7.875023797510039e-07,2.89411077059043e-06,,7.875023797510039e-07,2.89411077059043e-06
H2+H2,6-31g,1000.0,6,joint,6,5,-2.3031912432932193,-2.3032286398830006,-2.30322653327461,3.52899813904628e-05,3.7396589781302225e-05,3.52899813904628e-05,3.7396589781302225e-05,,3.52899813904628e-05,3.7396589781302225e-05
H2+H2,6-31g,1000.0,6,novel,36,17,-2.3028268961377423,-2.3032286398830006,-2.30322653327461,0.00039963713686752556,0.000401743745258365,0.00039963713686752556,0.000401743745258365,,0.00039963713686752556,0.000401743745258365
H2+H4,6-31g,1000.0,1,uab,1,1,-3.2700846032460067,-3.2890930921376036,-3.2700846032459405,-6.616929226765933e-14,0.019008488891596897,6.616929226765933e-14,0.019008488891596897,cas66,6.616929226765933e-14,0.019008488891596897
H2+H4,6-31g,1000.0,1,joint,1,1,-3.2700846032460067,-3.2890930921376036,-3.2700846032459405,-6.616929226765933e-14,0.019008488891596897,6.616929226765933e-14,0.019008488891596897,cas66,6.616929226765933e-14,0.019008488891596897
H2+H4,6-31g,1000.0,1,novel,1,1,-3.2700846032460067,-3.2890930921376036,-3.2700846032459405,-6.616929226765933e-14,0.019008488891596897,6.616929226765933e-14,0.019008488891596897,cas66,6.616929226765933e-14,0.019008488891596897
H2+H4,6-31g,1000.0,2,uab,4,4,-3.2879511831460633,-3.2890930921376036,-3.2873263519393037,-0.0006248312067596018,0.001141908991540319,0.0006248312067596018,0.001141908991540319,cas66,0.0006248312067596018,0.001141908991540319
H2+H4,6-31g,1000.0,2,joint,2,2,-3.2870590017591947,-3.2890930921376036,-3.2873263519393037,0.0002673501801089273,0.002034090378408848,0.0002673501801089273,0.002034090378408848,cas66,0.0002673501801089273,0.002034090378408848
H2+H4,6-31g,1000.0,2,novel,4,4,-3.287643813131356,-3.2890930921376036,-3.2873263519393037,-0.0003174611920524484,0.0014492790062474725,0.0003174611920524484,0.0014492790062474725,cas66,0.0003174611920524484,0.0014492790062474725
H2+H4,6-31g,1000.0,3,uab,9,9,-3.288964900398108,-3.2890930921376036,-3.288639301977468,-0.0003255984206402829,0.0001281917394955201,0.0003255984206402829,0.0001281917394955201,cas66,0.0003255984206402829,0.0001281917394955201
H2+H4,6-31g,1000.0,3,joint,3,3,-3.288608985026329,-3.2890930921376036,-3.288639301977468,3.0316951138864567e-05,0.00048410711127466755,3.0316951138864567e-05,0.00048410711127466755,cas66,3.0316951138864567e-05,0.00048410711127466755
H2+H4,6-31g,1000.0,3,novel,9,9,-3.288853815756597,-3.2890930921376036,-3.288639301977468,-0.00021451377912917735,0.00023927638100662563,0.00021451377912917735,0.00023927638100662563,cas66,0.00021451377912917735,0.00023927638100662563
H2+H4,6-31g,1000.0,4,uab,16,13,-3.289069683353067,-3.2890930921376036,-3.2890005918538794,-6.909149918765678e-05,2.3408784536549376e-05,6.909149918765678e-05,2.3408784536549376e-05,cas66,6.909149918765678e-05,2.3408784536549376e-05
H2+H4,6-31g,1000.0,4,joint,4,4,-3.2889672775653223,-3.2890930921376036,-3.2890005918538794,3.3314288557129146e-05,0.0001258145722813353,3.3314288557129146e-05,0.0001258145722813353,cas66,3.3314288557129146e-05,0.0001258145722813353
H2+H4,6-31g,1000.0,4,novel,16,13,-3.2890169928341955,-3.2890930921376036,-3.2890005918538794,-1.6400980316078062e-05,7.60993034081281e-05,1.6400980316078062e-05,7.60993034081281e-05,cas66,1.6400980316078062e-05,7.60993034081281e-05
H2+H4,6-31g,1000.0,5,uab,25,17,-3.2890871318904207,-3.2890930921376036,-3.289077521138267,-9.610752153665914e-06,5.960247182912326e-06,9.610752153665914e-06,5.960247182912326e-06,cas66,9.610752153665914e-06,5.960247182912326e-06
H2+H4,6-31g,1000.0,5,joint,5,5,-3.2890646957929563,-3.2890930921376036,-3.289077521138267,1.2825345310663039e-05,2.839634464724128e-05,1.2825345310663039e-05,2.839634464724128e-05,cas66,1.2825345310663039e-05,2.839634464724128e-05
H2+H4,6-31g,1000.0,5,novel,25,18,-3.289054246335711,-3.2890930921376036,-3.289077521138267,2.3274802555928176e-05,3.8845801892506415e-05,2.3274802555928176e-05,3.8845801892506415e-05,cas66,2.3274802555928176e-05,3.8845801892506415e-05
H2+H4,6-31g,1000.0,6,uab,36,20,-3.2890920778509036,-3.2890930921376036,-3.2890909421525807,-1.1356983229404705e-06,1.0142866999629518e-06,1.1356983229404705e-06,1.0142866999629518e-06,cas66,1.1356983229404705e-06,1.0142866999629518e-06
H2+H4,6-31g,1000.0,6,joint,6,6,-3.2890836615154617,-3.2890930921376036,-3.2890909421525807,7.280637118967093e-06,9.430622141870515e-06,7.280637118967093e-06,9.430622141870515e-06,cas66,7.280637118967093e-06,9.430622141870515e-06
H2+H4,6-31g,1000.0,6,novel,36,20,-3.2890598929056116,-3.2890930921376036,-3.2890909421525807,3.104924696906153e-05,3.319923199196495e-05,3.104924696906153e-05,3.319923199196495e-05,cas66,3.104924696906153e-05,3.319923199196495e-05
