system,basis,label,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,abs_vs_mono,abs_vs_dimer1000
H2+H2,sto-3g,STO-3G,1000.0,1,uab,1,1,-2.23399799350799,-2.2746120715067866,-2.233997993508006,1.5987211554602254e-14,0.04061407799879646,1.5987211554602254e-14,0.04061407799879646,full,1.5987211554602254e-14,0.04061407799879646
H2+H2,sto-3g,STO-3G,1000.0,1,joint,1,1,-2.23399799350799,-2.2746120715067866,-2.233997993508006,1.5987211554602254e-14,0.04061407799879646,1.5987211554602254e-14,0.04061407799879646,full,1.5987211554602254e-14,0.04061407799879646
H2+H2,sto-3g,STO-3G,1000.0,1,novel,1,1,-2.23399799350799,-2.2746120715067866,-2.233997993508006,1.5987211554602254e-14,0.04061407799879646,1.5987211554602254e-14,0.04061407799879646,full,1.5987211554602254e-14,0.04061407799879646
H2+H2,sto-3g,STO-3G,1000.0,2,uab,4,4,-2.2746120715067883,-2.2746120715067866,-2.274612071506798,9.769962616701378e-15,-1.7763568394002505e-15,9.769962616701378e-15,1.7763568394002505e-15,full,9.769962616701378e-15,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,1000.0,2,joint,2,2,-2.2741091697481925,-2.2746120715067866,-2.274612071506798,0.0005029017586055673,0.000502901758594021,0.0005029017586055673,0.000502901758594021,full,0.0005029017586055673,0.000502901758594021
H2+H2,sto-3g,STO-3G,1000.0,2,novel,4,4,-2.2746120715067866,-2.2746120715067866,-2.274612071506798,1.1546319456101628e-14,0.0,1.1546319456101628e-14,0.0,full,1.1546319456101628e-14,0.0
H2+H2,sto-3g,STO-3G,1000.0,3,uab,9,4,-2.2746120715067866,-2.2746120715067866,-2.274612071506798,1.1546319456101628e-14,0.0,1.1546319456101628e-14,0.0,full,1.1546319456101628e-14,0.0
H2+H2,sto-3g,STO-3G,1000.0,3,joint,3,3,-2.2746120715067857,-2.2746120715067866,-2.274612071506798,1.2434497875801753e-14,8.881784197001252e-16,1.2434497875801753e-14,8.881784197001252e-16,full,1.2434497875801753e-14,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,1000.0,3,novel,9,4,-2.2746120715067866,-2.2746120715067866,-2.274612071506798,1.1546319456101628e-14,0.0,1.1546319456101628e-14,0.0,full,1.1546319456101628e-14,0.0
H2+H2,sto-3g,STO-3G,1000.0,4,uab,16,4,-2.2746120715067857,-2.2746120715067866,-2.274612071506798,1.2434497875801753e-14,8.881784197001252e-16,1.2434497875801753e-14,8.881784197001252e-16,full,1.2434497875801753e-14,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,1000.0,4,joint,4,3,-2.274612071506785,-2.2746120715067866,-2.274612071506798,1.3322676295501878e-14,1.7763568394002505e-15,1.3322676295501878e-14,1.7763568394002505e-15,full,1.3322676295501878e-14,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,1000.0,4,novel,16,4,-2.2746120715067866,-2.2746120715067866,-2.274612071506798,1.1546319456101628e-14,0.0,1.1546319456101628e-14,0.0,full,1.1546319456101628e-14,0.0
H2+H2,sto-3g,STO-3G,1000.0,5,uab,25,4,-2.274612071506784,-2.2746120715067866,-2.274612071506799,1.509903313490213e-14,2.6645352591003757e-15,1.509903313490213e-14,2.6645352591003757e-15,full,1.509903313490213e-14,2.6645352591003757e-15
H2+H2,sto-3g,STO-3G,1000.0,5,joint,5,3,-2.2746120715067857,-2.2746120715067866,-2.274612071506799,1.3322676295501878e-14,8.881784197001252e-16,1.3322676295501878e-14,8.881784197001252e-16,full,1.3322676295501878e-14,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,1000.0,5,novel,25,4,-2.274612071506785,-2.2746120715067866,-2.274612071506799,1.4210854715202004e-14,1.7763568394002505e-15,1.4210854715202004e-14,1.7763568394002505e-15,full,1.4210854715202004e-14,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,1000.0,6,uab,36,4,-2.274612071506783,-2.2746120715067866,-2.2746120715067946,1.1546319456101628e-14,3.552713678800501e-15,1.1546319456101628e-14,3.552713678800501e-15,full,1.1546319456101628e-14,3.552713678800501e-15
H2+H2,sto-3g,STO-3G,1000.0,6,joint,6,3,-2.2746120715067866,-2.2746120715067866,-2.2746120715067946,7.993605777301127e-15,0.0,7.993605777301127e-15,0.0,full,7.993605777301127e-15,0.0
