basis,K_dimer,K_monomer,E_monomer_kqd,E_dimer_kqd,sc_err
sto3g,2,2,-1.137306035753399,-2.274109160251201,0.0005029112555972048
sto3g,2,4,-1.1373060357533986,-2.274109160251201,0.0005029112555963167
sto3g,2,6,-1.1373060357533982,-2.274109160251201,0.0005029112555954285
sto3g,2,8,-1.1373060357533973,-2.274109160251201,0.0005029112555936521
sto3g,2,10,-1.1373060357533986,-2.274109160251201,0.0005029112555963167
sto3g,4,2,-1.137306035753399,-2.274612071506798,1e-14
sto3g,4,4,-1.1373060357533986,-2.274612071506798,1e-14
sto3g,4,6,-1.1373060357533982,-2.274612071506798,1e-14
sto3g,4,8,-1.1373060357533973,-2.274612071506798,1e-14
sto3g,4,10,-1.1373060357533986,-2.274612071506798,1e-14
sto3g,6,2,-1.137306035753399,-2.2746120715067963,1e-14
sto3g,6,4,-1.1373060357533986,-2.2746120715067963,1e-14
sto3g,6,6,-1.1373060357533982,-2.2746120715067963,1e-14
sto3g,6,8,-1.1373060357533973,-2.2746120715067963,1e-14
sto3g,6,10,-1.1373060357533986,-2.2746120715067963,1e-14
sto3g,8,2,-1.137306035753399,-2.274612071506798,1e-14
sto3g,8,4,-1.1373060357533986,-2.274612071506798,1e-14
sto3g,8,6,-1.1373060357533982,-2.274612071506798,1e-14
sto3g,8,8,-1.1373060357533973,-2.274612071506798,1e-14
sto3g,8,10,-1.1373060357533986,-2.274612071506798,1e-14
sto3g,10,2,-1.137306035753399,-2.2746120715067972,1e-14
sto3g,10,4,-1.1373060357533986,-2.2746120715067972,1e-14
sto3g,10,6,-1.1373060357533982,-2.2746120715067972,1e-14
sto3g,10,8,-1.1373060357533973,-2.2746120715067972,1e-14
sto3g,10,10,-1.1373060357533986,-2.2746120715067972,1e-14
631g,2,2,-1.148165473740351,-2.2964191107976317,8.816331692962365e-05
631g,2,4,-1.1516129992823414,-2.2964191107976317,0.006806887767051073
631g,2,6,-1.1516143176572875,-2.2964191107976317,0.006809524516943277
631g,2,8,-1.151614319937249,-2.2964191107976317,0.006809529076866383
631g,2,10,-1.1516143199372495,-2.2964191107976317,0.006809529076867271
631g,4,2,-1.148165473740351,-2.30287656409572,0.006545616615017735
631g,4,4,-1.1516129992823414,-2.30287656409572,0.0003494344689629614
631g,4,6,-1.1516143176572875,-2.30287656409572,0.00035207121885516557
631g,4,8,-1.151614319937249,-2.30287656409572,0.00035207577877827134
631g,4,10,-1.1516143199372495,-2.30287656409572,0.0003520757787791595
631g,6,2,-1.148165473740351,-2.3032274175507865,0.006896470070084426
631g,6,4,-1.1516129992823414,-2.3032274175507865,1.4189861037294804e-06
631g,6,6,-1.1516143176572875,-2.3032274175507865,1.2177637884747128e-06
631g,6,8,-1.151614319937249,-2.3032274175507865,1.2223237115804864e-06
631g,6,10,-1.1516143199372495,-2.3032274175507865,1.2223237124686648e-06
631g,8,2,-1.148165473740351,-2.3032285055280672,0.006897558047365138
631g,8,4,-1.1516129992823414,-2.3032285055280672,2.5069633844410077e-06
631g,8,6,-1.1516143176572875,-2.3032285055280672,1.2978650776318545e-07
631g,8,8,-1.151614319937249,-2.3032285055280672,1.3434643086895903e-07
631g,8,10,-1.1516143199372495,-2.3032285055280672,1.3434643175713745e-07
631g,10,2,-1.148165473740351,-2.3032284416023323,0.00689749412163021
631g,10,4,-1.1516129992823414,-2.3032284416023323,2.4430376495132577e-06
631g,10,6,-1.1516143176572875,-2.3032284416023323,1.9371224269093545e-07
631g,10,8,-1.151614319937249,-2.3032284416023323,1.9827216579670903e-07
631g,10,10,-1.1516143199372495,-2.3032284416023323,1.9827216668488745e-07
