basis,krylov_dim,E_h2_kqd,E_h4_kqd,E_ab_kqd,sc_err,h2_err,h4_err,ab_err
sto3g,2,-1.137306035753399,-2.128223966128959,-3.265852390285462,0.000322388403104,1e-14,3.1125550103484385,3.112877398751543
sto3g,4,-1.1373060357533986,-2.135174431025335,-3.2725440930836407,6.362630490697185e-05,1e-14,3.119505475244815,3.119569101549722
sto3g,6,-1.1373060357533982,-2.135518715542541,-3.2728297457870474,4.99449110780148e-06,1e-14,3.119849759762021,3.1198547542531285
sto3g,8,-1.1373060357533973,-2.135534409120269,-3.2728405246802885,7.980662175555153e-08,1e-14,3.119865453339749,3.1198655331463696
sto3g,10,-1.1373060357533986,-2.1355345510730905,-3.2728406165002,2.967371015571985e-08,1e-14,3.1198655952925702,3.1198656249662804
631g,2,-1.148165473740352,-2.1870274197623867,-3.3355147696102674,0.0003218761075287,0.0034488461968993,3.110795269942072,3.1076682998527017
631g,4,-1.151612999282348,-2.194993664475849,-3.3465330556073103,7.360815088697237e-05,1.3206549032140913e-06,3.1187615146555348,3.118686585849745
631g,6,-1.1516143176572915,-2.195703028940543,-3.3472944446297617,2.2901968072641665e-05,2.279959776529949e-09,3.1194708791202284,3.119447974872196
631g,8,-1.151614319937249,-2.195962795327126,-3.347565970950155,1.1144314220334904e-05,1e-14,3.119730645506812,3.119719501192589
631g,10,-1.1516143199372544,-2.19595729803328,-3.3475664862797063,5.131690828275026e-06,1e-14,3.1197251482129658,3.1197200165221406
