basis,N,variant,raw_dim,eff_dim,gs_err,below_chem_acc
sto-3g,6,novel,36,25,8.830709887774901e-07,True
sto-3g,6,both_order,72,31,5.921014789578294e-10,True
sto-3g,6,multidt,108,30,2.1943042938232793e-09,True
sto-3g,6,hybrid,42,27,2.7905105781655948e-08,True
sto-3g,6,joint,6,6,0.00013924472727655512,True
6-31g,6,novel,36,17,0.005713058902501622,False
6-31g,6,both_order,72,27,0.0013002512491215867,True
6-31g,6,multidt,108,23,0.0054487102297322565,False
6-31g,6,hybrid,42,20,0.001221932249577229,True
6-31g,6,joint,6,5,0.0018238068096456672,False
