system,basis,label,active,subtraction,N,variant,R_gap,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,full,monomers,1,novel,1.1,1,1,-3.1733293571264607,0.06047208061559495,0.09951127701971174,0.039039196404116794,0.06047208061559495
H2+H4,sto-3g,STO-3G,full,monomers,1,both_order,1.1,2,1,-3.1733293571264607,0.06047208061559495,0.09951127701971174,0.039039196404116794,0.06047208061559495
H2+H4,sto-3g,STO-3G,full,monomers,1,hybrid,1.1,2,1,-3.1733293571264607,0.06047208061559495,0.09951127701971174,0.039039196404116794,0.06047208061559495
H2+H4,sto-3g,STO-3G,full,monomers,1,joint,1.1,1,1,-3.1733293571264607,0.06047208061559495,0.09951127701971174,0.039039196404116794,0.06047208061559495
H2+H4,sto-3g,STO-3G,full,monomers,2,novel,1.1,4,4,-3.225745006518819,0.008056431223236515,0.04709562762735331,0.039039196404116794,0.008056431223236515
H2+H4,sto-3g,STO-3G,full,monomers,2,both_order,1.1,8,5,-3.2310983376360785,0.0027031001059771853,0.04174229651009398,0.039039196404116794,0.0027031001059771853
H2+H4,sto-3g,STO-3G,full,monomers,2,hybrid,1.1,6,5,-3.2311253735799426,0.0026760641621130787,0.04171526056622987,0.039039196404116794,0.0026760641621130787
H2+H4,sto-3g,STO-3G,full,monomers,2,joint,1.1,2,2,-3.224547692857021,0.00925374488503472,0.048292941289151514,0.039039196404116794,0.00925374488503472
H2+H4,sto-3g,STO-3G,full,monomers,3,novel,1.1,9,9,-3.2315729274641036,0.0022285102779520116,0.041267706682068805,0.039039196404116794,0.0022285102779520116
H2+H4,sto-3g,STO-3G,full,monomers,3,both_order,1.1,18,13,-3.2333236913715826,0.00047774637047304225,0.039516942774589836,0.039039196404116794,0.00047774637047304225
H2+H4,sto-3g,STO-3G,full,monomers,3,hybrid,1.1,12,11,-3.2330088593603854,0.0007925783816702392,0.03983177478578703,0.039039196404116794,0.0007925783816702392
H2+H4,sto-3g,STO-3G,full,monomers,3,joint,1.1,3,3,-3.231576375671997,0.00222506207005857,0.041264258474175364,0.039039196404116794,0.00222506207005857
H2+H4,sto-3g,STO-3G,full,monomers,4,novel,1.1,16,14,-3.232682677442547,0.0011187602995086365,0.04015795670362543,0.039039196404116794,0.0011187602995086365
H2+H4,sto-3g,STO-3G,full,monomers,4,both_order,1.1,32,22,-3.233666766078656,0.00013467166339964365,0.03917386806751644,0.039039196404116794,0.00013467166339964365
H2+H4,sto-3g,STO-3G,full,monomers,4,hybrid,1.1,20,17,-3.233603865360058,0.00019757238199780147,0.039236768786114595,0.039039196404116794,0.00019757238199780147
H2+H4,sto-3g,STO-3G,full,monomers,4,joint,1.1,4,4,-3.233084420533322,0.00071701720873385,0.039756213612850644,0.039039196404116794,0.00071701720873385
H2+H4,sto-3g,STO-3G,full,monomers,5,novel,1.1,25,19,-3.2330189555537423,0.0007824821883133382,0.03982167859243013,0.039039196404116794,0.0007824821883133382
H2+H4,sto-3g,STO-3G,full,monomers,5,both_order,1.1,50,31,-3.23374107982516,6.035791689562586e-05,0.03909955432101242,0.039039196404116794,6.035791689562586e-05
H2+H4,sto-3g,STO-3G,full,monomers,5,hybrid,1.1,30,23,-3.2337487459366407,5.269180541489504e-05,0.03909188820953169,0.039039196404116794,5.269180541489504e-05
H2+H4,sto-3g,STO-3G,full,monomers,5,joint,1.1,5,5,-3.233572177661273,0.00022926008078272275,0.03926845648489952,0.039039196404116794,0.00022926008078272275
H2+H4,sto-3g,STO-3G,full,monomers,6,novel,1.1,36,23,-3.233062731702889,0.0007387060391668143,0.03977790244328361,0.039039196404116794,0.0007387060391668143
H2+H4,sto-3g,STO-3G,full,monomers,6,both_order,1.1,72,39,-3.2337678481609515,3.358958110410981e-05,0.039072785985220904,0.039039196404116794,3.358958110410981e-05
H2+H4,sto-3g,STO-3G,full,monomers,6,hybrid,1.1,42,28,-3.2337854147967064,1.602294534919224e-05,0.039055219349465986,0.039039196404116794,1.602294534919224e-05
H2+H4,sto-3g,STO-3G,full,monomers,6,joint,1.1,6,6,-3.2337316666200095,6.97711220460917e-05,0.039108967526162886,0.039039196404116794,6.97711220460917e-05
