system,basis,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_exact,E_mono_sum_qkd,E_mono_sum,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,mono_active,SC_err_cas,abs_vs_mono,abs_vs_dimer1000
H2+H2,6-31g,1000.0,1,hybrid,2,1,-2.2536187162559793,-2.303228640449947,-2.303228639874515,-2.2536187162559855,-2.2536187162559855,6.217248937900877e-15,0.049609924193967814,6.217248937900877e-15,0.049609924193967814,,,,6.217248937900877e-15,0.049609924193967814
H2+H2,6-31g,1000.0,1,joint,1,1,-2.2536187162559793,-2.303228640449947,-2.303228639874515,-2.2536187162559855,-2.2536187162559855,6.217248937900877e-15,0.049609924193967814,6.217248937900877e-15,0.049609924193967814,,,,6.217248937900877e-15,0.049609924193967814
H2+H2,6-31g,1000.0,1,novel,1,1,-2.2536187162559793,-2.303228640449947,-2.303228639874515,-2.2536187162559855,-2.2536187162559855,6.217248937900877e-15,0.049609924193967814,6.217248937900877e-15,0.049609924193967814,,,,6.217248937900877e-15,0.049609924193967814
H2+H2,6-31g,1000.0,2,hybrid,6,5,-2.301474970372163,-2.303228640449947,-2.303228639874515,-2.2969103596758673,-2.2969103596758673,-0.004564610696295546,0.001753670077784264,0.004564610696295546,0.001753670077784264,,,,0.004564610696295546,0.001753670077784264
H2+H2,6-31g,1000.0,2,joint,2,2,-2.296513743524705,-2.303228640449947,-2.303228639874515,-2.2969103596758673,-2.2969103596758673,0.0003966161511623767,0.006714896925242186,0.0003966161511623767,0.006714896925242186,,,,0.0003966161511623767,0.006714896925242186
H2+H2,6-31g,1000.0,2,novel,4,4,-2.297643308360053,-2.303228640449947,-2.303228639874515,-2.2969103596758673,-2.2969103596758673,-0.0007329486841856081,0.005585332089894202,0.0007329486841856081,0.005585332089894202,,,,0.0007329486841856081,0.005585332089894202
H2+H2,6-31g,1000.0,3,hybrid,12,10,-2.3029436922923203,-2.303228640449947,-2.303228639874515,-2.302539518833383,-2.302539518833383,-0.0004041734589375068,0.0002849481576268076,0.0004041734589375068,0.0002849481576268076,,,,0.0004041734589375068,0.0002849481576268076
H2+H2,6-31g,1000.0,3,joint,3,3,-2.3018942448772597,-2.303228640449947,-2.303228639874515,-2.302539518833383,-2.302539518833383,0.0006452739561231269,0.0013343955726874412,0.0006452739561231269,0.0013343955726874412,,,,0.0006452739561231269,0.0013343955726874412
H2+H2,6-31g,1000.0,3,novel,9,8,-2.302599810446859,-2.303228640449947,-2.303228639874515,-2.302539518833383,-2.302539518833383,-6.029161347598233e-05,0.000628830003088332,6.029161347598233e-05,0.000628830003088332,,,,6.029161347598233e-05,0.000628830003088332
H2+H2,6-31g,1000.0,4,hybrid,20,15,-2.303167674325106,-2.303228640449947,-2.303228639874515,-2.3032266280163354,-2.3032266280163354,5.8953691229213234e-05,6.096612484096653e-05,5.8953691229213234e-05,6.096612484096653e-05,,,,5.8953691229213234e-05,6.096612484096653e-05
