system,basis,label,R,N,variant,basis_type,raw_dim,eff_dim,n_discarded,eff_frac,gs_total,E_exact,gs_err,s_min,s_max,cond_S,h_min_abs,h_max_abs,cond_H,h_reg_min_abs,cond_H_reg,n_kept_S,S_singular,H_singular
H2+H2,sto-3g,STO-3G,1.1,1,hybrid,lanczos_orthogonal,2,2,0,1.0,-1.6101928721887484,-1.6275158749550256,0.017323002766277185,1.0,1.0000000000000002,1.0000000000000002,2.799341057087387,5.750451773895671,2.0542162089669804,2.799341057087387,2.0542162089669804,2,False,False
H2+H2,sto-3g,STO-3G,1.1,1,joint,lanczos_orthogonal,1,1,0,1.0,-1.5809248012803598,-1.6275158749550256,0.04659107367466575,1.0,1.0,1.0,5.7211837029872825,5.7211837029872825,1.0,5.7211837029872825,1.0,1,False,False
H2+H2,sto-3g,STO-3G,1.1,1,novel,lanczos_orthogonal,1,1,0,1.0,-1.5809248012803598,-1.6275158749550256,0.04659107367466575,1.0,1.0,1.0,5.7211837029872825,5.7211837029872825,1.0,5.7211837029872825,1.0,1,False,False
H2+H2,sto-3g,STO-3G,1.1,2,hybrid,lanczos_orthogonal,6,6,0,1.0,-1.624674048386634,-1.6275158749550256,0.0028418265683916033,0.9999999999999983,1.000000000000002,1.0000000000000038,0.18447272806920909,5.764932950093556,31.250868409831895,0.18447272806921208,31.2508684098314,6,False,False
H2+H2,sto-3g,STO-3G,1.1,2,joint,lanczos_orthogonal,2,2,0,1.0,-1.6101928721887484,-1.6275158749550256,0.017323002766277185,1.0,1.0000000000000002,1.0000000000000002,2.799341057087387,5.750451773895671,2.0542162089669804,2.799341057087387,2.0542162089669804,2,False,False
H2+H2,sto-3g,STO-3G,1.1,2,novel,lanczos_orthogonal,4,4,0,1.0,-1.6214497471299563,-1.6275158749550256,0.006066127825069323,0.9999999999999984,1.0000000000000009,1.0000000000000024,0.8541128483042508,5.761708648836873,6.7458400377375485,0.8541128483042513,6.745840037737544,4,False,False
H2+H2,sto-3g,STO-3G,1.1,3,hybrid,lanczos_orthogonal,12,12,0,1.0,-1.6272953442412046,-1.6275158749550256,0.00022053071382099887,0.9999999999999613,1.000000000000037,1.000000000000076,0.30163655229277436,5.767554245948129,19.120873123990716,0.3016365522927741,19.12087312399073,12,False,False
H2+H2,sto-3g,STO-3G,1.1,3,joint,lanczos_orthogonal,3,3,0,1.0,-1.6228683720145929,-1.6275158749550256,0.004647502940432702,1.0,1.0000000000000002,1.0000000000000002,0.47098134177064493,5.763127273721516,12.236423744633182,0.4709813417706447,12.236423744633187,3,False,False
H2+H2,sto-3g,STO-3G,1.1,3,novel,lanczos_orthogonal,9,9,0,1.0,-1.626642178857698,-1.6275158749550256,0.0008736960973276808,0.9999999999999732,1.000000000000026,1.0000000000000528,0.49972374275203474,5.766901080564624,11.540178276912865,0.4997237427520342,11.540178276912874,9,False,False
H2+H2,sto-3g,STO-3G,1.1,4,hybrid,lanczos_orthogonal,20,20,0,1.0,-1.6274973430707886,-1.6275158749550256,1.8531884236949736e-05,0.9999999999989847,1.0000000000010154,1.0000000000020308,0.03788416024927689,5.767756244777707,152.2471715573476,0.037884160249276044,152.24717155735092,20,False,False
H2+H2,sto-3g,STO-3G,1.1,4,joint,lanczos_orthogonal,4,4,0,1.0,-1.6267012150228117,-1.6275158749550256,0.000814659932213857,1.0,1.0000000000000002,1.0000000000000002,0.27105360027093595,5.7669601167297335,21.27608750064665,0.2710536002709361,21.276087500646636,4,False,False
H2+H2,sto-3g,STO-3G,1.1,4,novel,lanczos_orthogonal,16,16,0,1.0,-1.6273292675136846,-1.6275158749550256,0.00018660744134102458,0.9999999999989952,1.0000000000010052,1.00000000000201,0.024619626613424397,5.7675881692206055,234.2678977135949,0.024619626613426135,234.26789771357844,16,False,False
H2+H2,sto-3g,STO-3G,1.1,5,hybrid,lanczos_orthogonal,30,30,0,1.0,-1.6275157270091904,-1.6275158749550256,1.4794583513833004e-07,0.9999999999622013,1.0000000000377955,1.0000000000755942,0.0001943129484079491,5.767774628716111,29682.914473650995,0.00019431294840662703,29682.914473852983,30,False,False
