basis,N,E_joint_R1p1,E_joint_R1000,E_novel_R1p1,novel_raw_dim,delta_P1,delta_P2,delta_P3,err_P1,err_P2,err_P3,gs_err_joint,gs_err_novel,eff_dim_joint,eff_dim_novel
sto-3g,1,-1.5809248012803643,-2.23399799350799,-1.5809248012803643,1,0.6530731922276258,0.6936872702264338,0.6936872702264338,0.005976995675861296,0.0465910736746693,0.0465910736746693,0.0465910736746693,0.0465910736746693,1,1
sto-3g,2,-1.6086978069129811,-2.2741091697481925,-1.6214497471299474,4,0.6654113628352114,0.665914264593817,0.6531623243768507,0.01831516628344687,0.018818068042052438,0.006066127825086198,0.018818068042052438,0.006066127825086198,2,4
sto-3g,3,-1.620926725140917,-2.2746120715067857,-1.6266421788579395,9,0.6536853463658687,0.6536853463658812,0.6479698926488586,0.006589149814104189,0.006589149814116624,0.0008736960970940899,0.006589149814116624,0.0008736960970940899,3,9
sto-3g,4,-1.626082504552783,-2.274612071506785,-1.6273292675241766,16,0.6485295669540019,0.6485295669540152,0.6472828039826215,0.001433370402237344,0.0014333704022506666,0.00018660743085696652,0.0014333704022506666,0.00018660743085696652,4,16
sto-3g,5,-1.6269687532404635,-2.2746120715067857,-1.6275066632860318,25,0.6476433182663222,0.6476433182663346,0.6471054082207663,0.000547121714557619,0.0005471217145700535,9.211669001807365e-06,0.0005471217145700535,9.211669001807365e-06,5,21
sto-3g,6,-1.6273766302277517,-2.2746120715067866,-1.627514991883487,36,0.6472354412790349,0.6472354412790464,0.6470970796233111,0.00013924472727033788,0.0001392447272818842,8.830715465535377e-07,0.0001392447272818842,8.830715465535377e-07,6,25
6-31g,1,-1.718556426068771,-2.2536187162559687,-1.718556426068771,1,0.5350622901871978,0.5846722138057334,0.5846722138057334,0.010312726622183632,0.0599226502407193,0.0599226502407193,0.0599226502407193,0.0599226502407193,1,1
6-31g,2,-1.7596654495396047,-2.296513743247261,-1.7602554526978755,4,0.5368482937076564,0.5435631903348996,0.5429731871766288,0.012098730142642289,0.018813626769885516,0.01822362361161467,0.018813626769885516,0.01822362361161467,2,4
6-31g,3,-1.7706423061038459,-2.301894244366818,-1.7712893583077758,9,0.5312519382629723,0.5325863337706584,0.5319392815667285,0.006502374697958224,0.007836770205644328,0.007189718001714418,0.007836770205644328,0.007189718001714418,3,8
6-31g,4,-1.774695463708107,-2.3028988597058015,-1.7725380402786035,16,0.5282033959976946,0.5285331761663974,0.5306905995959008,0.0034538324326804926,0.0037836126013832683,0.005941036030886693,0.0037836126013832683,0.005941036030886693,4,13
6-31g,5,-1.7766767489901625,-2.303192061536988,-1.7726464563719482,25,0.5265153125468256,0.5265518908843418,0.5305821835025561,0.0017657489818114769,0.0018023273193277234,0.005832619937542027,0.0018023273193277234,0.005832619937542027,5,14
6-31g,6,-1.7766552694266364,-2.3031912432998167,-1.7727660206263955,36,0.5265359738731803,0.5265733704478679,0.5304626192481088,0.0017864103081661753,0.0018238068828537735,0.005713055683094659,0.0018238068828537735,0.005713055683094659,5,17
6-31g,7,-1.77784432248309,-2.3032275642687434,-1.7728469777139972,49,0.5253832417856534,0.5253843173914143,0.5303816621605071,0.000633678220639311,0.0006347538264002139,0.0056320985954929625,0.0006347538264002139,0.0056320985954929625,6,19
6-31g,8,-1.777830178343363,-2.303227496819134,-1.772903799994758,64,0.525397318475771,0.5253984615311413,0.5303248398797464,0.0006477549107568592,0.0006488979661272154,0.005575276314732314,0.0006488979661272154,0.005575276314732314,6,21
