basis,N,E_joint_R1000,E_novel_R1000,E_mono_qkd,two_E_mono_qkd,two_E_mono_exact,SC_err_joint,SC_err_novel,ref_gap_P1_vs_P2,delta_P1,delta_P2_exact,delta_P2_qkd,err_P1,err_P2_exact,err_P2_qkd
sto-3g,1,-2.23399799350799,-2.23399799350799,-1.116998996754003,-2.233997993508006,-2.274612071506798,1.5987211554602254e-14,1.5987211554602254e-14,0.04061407799880801,0.6530731922276258,0.6936872702264338,0.6530731922276418,0.005976995675861296,0.0465910736746693,0.0059769956758772835
sto-3g,2,-2.2741091697481925,-2.2746120715067866,-1.1373060357533995,-2.274612071506799,-2.274612071506798,0.0005029017586064555,1.2434497875801753e-14,0.0005029017586055673,0.6654113628352114,0.665914264593817,0.6659142645938179,0.01831516628344687,0.018818068042052438,0.018818068042053326
sto-3g,3,-2.2746120715067857,-2.2746120715067866,-1.1373060357533986,-2.2746120715067972,-2.274612071506798,1.1546319456101628e-14,1.0658141036401503e-14,1.2434497875801753e-14,0.6536853463658687,0.6536853463658812,0.6536853463658803,0.006589149814104189,0.006589149814116624,0.006589149814115736
sto-3g,4,-2.274612071506785,-2.2746120715067866,-1.1373060357533982,-2.2746120715067963,-2.274612071506798,1.1546319456101628e-14,9.769962616701378e-15,1.3322676295501878e-14,0.6485295669540019,0.6485295669540152,0.6485295669540134,0.001433370402237344,0.0014333704022506666,0.0014333704022488902
sto-3g,5,-2.2746120715067857,-2.274612071506785,-1.1373060357533982,-2.2746120715067963,-2.274612071506798,1.0658141036401503e-14,1.1546319456101628e-14,1.2434497875801753e-14,0.6476433182663222,0.6476433182663346,0.6476433182663328,0.000547121714557619,0.0005471217145700535,0.0005471217145682772
sto-3g,6,-2.2746120715067866,-2.274612071506783,-1.1373060357533986,-2.2746120715067972,-2.274612071506798,1.0658141036401503e-14,1.4210854715202004e-14,1.1546319456101628e-14,0.6472354412790349,0.6472354412790464,0.6472354412790455,0.00013924472727033788,0.0001392447272818842,0.00013924472728099602
6-31g,1,-2.2536187162559687,-2.2536187162559687,-1.126809358127994,-2.253618716255988,-2.3032286398745043,1.9539925233402755e-14,1.9539925233402755e-14,0.04960992361853567,0.5350622901871978,0.5846722138057334,0.5350622901872173,0.010312726622183632,0.0599226502407193,0.010312726622203172
6-31g,2,-2.296513743247261,-2.29731270090827,-1.148165473740352,-2.296330947480704,-2.3032286398745043,0.00018279576655721996,0.0009817534275660122,0.0067148966272432276,0.5368482937076564,0.5435631903348996,0.5366654979410992,0.012098730142642289,0.018813626769885516,0.011915934376085069
6-31g,3,-2.301894244366818,-2.3021189555898154,-1.1512032528535054,-2.302406505707011,-2.3032286398745043,0.0005122613401926657,0.00028755011719550083,0.0013343955076861036,0.5312519382629723,0.5325863337706584,0.531764199603165,0.006502374697958224,0.007836770205644328,0.00701463603815089
6-31g,4,-2.3028988597058015,-2.3022603465513045,-1.1516129992823378,-2.3032259985646757,-2.3032286398745043,0.00032713885887414307,0.0009656520133711766,0.0003297801687027757,0.5282033959976946,0.5285331761663974,0.5285305348565688,0.0034538324326804926,0.0037836126013832683,0.0037809712915546356
6-31g,5,-2.303192061536988,-2.302452268907917,-1.1516143180624598,-2.3032286361249197,-2.3032286398745043,3.657458793160373e-05,0.0007763672170026936,3.6578337516246506e-05,0.5265153125468256,0.5265518908843418,0.5265518871347572,0.0017657489818114769,0.0018023273193277234,0.0018023235697430806
6-31g,6,-2.3031912432998167,-2.302585854347562,-1.1516143176572915,-2.303228635314583,-2.3032286398745043,3.7392014766268744e-05,0.0006427809670208617,3.739657468759816e-05,0.5265359738731803,0.5265733704478679,0.5265733658879466,0.0017864103081661753,0.0018238068828537735,0.001823802322932444
6-31g,7,-2.3032275642687434,-2.302603031944993,-1.1516143170603192,-2.3032286341206385,-2.3032286398745043,1.0698518950746916e-06,0.0006256021756456676,1.0756057609029313e-06,0.5253832417856534,0.5253843173914143,0.5253843116375485,0.000633678220639311,0.0006347538264002139,0.0006347480725343857
6-31g,8,-2.303227496819134,-2.3026812148985547,-1.1516143199372628,-2.3032286398745256,-2.3032286398745043,1.1430553916724762e-06,0.0005474249759709338,1.143055370356194e-06,0.525397318475771,0.5253984615311413,0.5253984615311627,0.0006477549107568592,0.0006488979661272154,0.0006488979661485317
