R,N,procedure,basis_dim,gs_total,gs_err,delta_sc,delta_int,s_min,eff_dim,E_exact_tot,E_exact_sum,delta_exact,E_a,E_b,E_dimer
1.1,2,novel,4,-1.6214497471299305,0.0060661278250924155,0.6531623243768667,,0.00011451274539111461,4,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,
1.1,2,baseline_separate,2,-1.6086978069129776,0.018818068042045333,0.6659142645938196,0.6659142645938205,0.009745137886081444,2,-1.627515874955023,-2.2746120715067972,0.6470961965517743,-1.137306035753399,-1.137306035753399,
1.1,2,baseline_dimer,2,-1.6086978069129776,0.018818068042045333,0.0004975438284429146,0.6654167207653767,0.009745137886081444,2,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,-2.2741145276783543
1.1,3,novel,9,-1.6266421788581331,0.0008736960968898089,0.6479698926486641,,8.455070057432379e-07,9,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,
1.1,3,baseline_separate,3,-1.6209267251409036,0.006589149814119288,0.6536853463658936,0.6536853463658927,0.0025542704220237133,3,-1.627515874955023,-2.2746120715067972,0.6470961965517743,-1.1373060357533982,-1.1373060357533982,
1.1,3,baseline_dimer,3,-1.6209267251409036,0.006589149814119288,0.0,0.6536853463658936,0.0025542704220237133,3,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,-2.2746120715067972
1.1,4,novel,16,-1.627329267536184,0.00018660741883902432,0.6472828039706133,,4.2776305706597373e-10,16,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,
1.1,4,baseline_separate,4,-1.626082504552766,0.0014333704022568838,0.6485295669540312,0.6485295669540312,0.0009492242679538767,4,-1.627515874955023,-2.2746120715067972,0.6470961965517743,-1.1373060357533986,-1.1373060357533986,
1.1,4,baseline_dimer,4,-1.626082504552766,0.0014333704022568838,0.0,0.6485295669540312,0.0009492242679538767,4,-1.627515874955023,-2.2746120715067972,0.6470961965517743,,,-2.2746120715067972
10.0,2,novel,4,-2.274328032464212,0.00028391539750849404,0.00028403904258533785,,6.334723969388814e-05,4,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,
10.0,2,baseline_separate,2,-2.274109900781152,0.0005020470805683352,0.0005021707256451791,0.0005021707256460672,0.01813948217955202,2,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,-1.137306035753399,-1.137306035753399,
10.0,2,baseline_dimer,2,-2.274109900781152,0.0005020470805683352,0.0005020187454984892,1.5198014668982296e-07,0.01813948217955202,2,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,-2.2741100527612987
10.0,3,novel,9,-2.2746119355581906,1.2303529750568032e-08,1.3594860659438268e-07,,8.658626175293261e-12,8,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,
10.0,3,baseline_separate,3,-2.274611940863962,6.997758372762064e-09,1.3064283521657671e-07,1.306428343283983e-07,0.00018735405041481656,3,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,-1.1373060357533982,-1.1373060357533982,
10.0,3,baseline_dimer,3,-2.274611940863962,6.997758372762064e-09,8.881784197001252e-16,1.3064283610475513e-07,0.00018735405041481656,3,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,-2.274612071506798
10.0,4,novel,16,-2.2746119436275802,4.234140149605992e-09,1.2787921699342064e-07,,1.262135861746132e-15,9,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,
10.0,4,baseline_separate,4,-2.2746119478609637,7.567280135845067e-13,1.2364583357182823e-07,1.2364583357182823e-07,5.732781802294201e-09,4,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,-1.1373060357533986,-1.1373060357533986,
10.0,4,baseline_dimer,4,-2.2746119478609637,7.567280135845067e-13,8.881784197001252e-16,1.2364583446000665e-07,5.732781802294201e-09,4,-2.2746119478617204,-2.2746120715067972,1.2364507684381465e-07,,,-2.274612071506798
100.0,2,novel,4,-2.2746120715047513,4.884981308350689e-15,2.0459189897792385e-12,,1.8725411219335115e-05,4,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,
100.0,2,baseline_separate,2,-2.2741092546564943,0.0005028168482619222,0.0005028168503029562,0.0005028168503038444,0.01973666097626003,2,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,-1.137306035753399,-1.137306035753399,
100.0,2,baseline_dimer,2,-2.2741092546564943,0.0005028168482619222,0.0005028168482672513,2.035704937952687e-12,0.01973666097626003,2,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,-2.27410925465853
100.0,3,novel,9,-2.274612071504754,2.220446049250313e-15,2.043254454520138e-12,,-3.6077640383636353e-16,4,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,
100.0,3,baseline_separate,3,-2.274612071504754,2.220446049250313e-15,2.043254454520138e-12,2.042366276100438e-12,0.00021678847054253144,3,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,-1.1373060357533982,-1.1373060357533982,
100.0,3,baseline_dimer,3,-2.274612071504754,2.220446049250313e-15,8.881784197001252e-16,2.0441426329398382e-12,0.00021678847054253144,3,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,-2.274612071506798
100.0,4,novel,16,-2.274612071504753,3.1086244689504383e-15,2.0441426329398382e-12,,-3.306989696715908e-15,4,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,
100.0,4,baseline_separate,4,-2.2746120715047544,1.7763568394002505e-15,2.042810365310288e-12,2.042810365310288e-12,1.4255759132943984e-17,3,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,-1.1373060357533986,-1.1373060357533986,
100.0,4,baseline_dimer,4,-2.2746120715047544,1.7763568394002505e-15,1.7763568394002505e-15,2.0445867221496883e-12,1.4255759132943984e-17,3,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,,,-2.274612071506799
