N,procedure,gs_total_R1p1,gs_total_R1000,delta_sep,delta_sep_exact,sep_err
2,novel,-1.6214497471299216,-2.274612071506792,0.6531623243768703,0.6470961965517539,0.006066127825116396
3,novel,-1.6266421788576038,-2.2746120715067795,0.6479698926491757,0.6470961965517539,0.0008736960974218277
4,novel,-1.627329267527327,-2.274612071506784,0.6472828039794569,0.6470961965517539,0.00018660742770304495
5,novel,-1.6275066632843265,-2.2746120715067777,0.6471054082224512,0.6470961965517539,9.211670697339969e-06
6,novel,-1.6275149918809566,-2.2746120715067812,0.6470970796258246,0.6470961965517539,8.830740707566065e-07
2,baseline_separate,-1.6086978069129811,-2.274109169748189,0.6654113628352079,0.6470961965517539,0.018315166283453976
3,baseline_separate,-1.6209267251409036,-2.274612071506783,0.6536853463658794,0.6470961965517539,0.006589149814125506
4,baseline_separate,-1.6260825045527776,-2.274612071506783,0.6485295669540054,0.6470961965517539,0.0014333704022515548
5,baseline_separate,-1.626968753240459,-2.2746120715067812,0.6476433182663222,0.6470961965517539,0.0005471217145682772
6,baseline_separate,-1.6273766302277464,-2.274612071506784,0.6472354412790375,0.6470961965517539,0.00013924472728366055
2,baseline_dimer,-1.6086978069129811,-2.274109169748189,0.6654113628352079,0.6470961965517539,0.018315166283453976
3,baseline_dimer,-1.6209267251409036,-2.274612071506783,0.6536853463658794,0.6470961965517539,0.006589149814125506
4,baseline_dimer,-1.6260825045527776,-2.274612071506783,0.6485295669540054,0.6470961965517539,0.0014333704022515548
5,baseline_dimer,-1.626968753240459,-2.2746120715067812,0.6476433182663222,0.6470961965517539,0.0005471217145682772
6,baseline_dimer,-1.6273766302277464,-2.274612071506784,0.6472354412790375,0.6470961965517539,0.00013924472728366055
