R,N,procedure,basis_dim,eff_dim,gs_total,gs_err,s_min
1.1,2,novel,4,4,-1.6214497471299438,0.006066127825086198,0.00011451274539133319
1.1,3,novel,9,9,-1.6266421788580159,0.0008736960970141538,8.455070059591788e-07
1.1,4,novel,16,16,-1.6273292675139954,0.00018660744103460303,4.2776300056883045e-10
1.1,5,novel,25,21,-1.6275066632865798,9.211668450248567e-06,3.351160581060657e-13
1.1,6,novel,36,25,-1.6275149918818235,8.830732065590041e-07,-2.1792561511623074e-15
1.1,7,novel,49,27,-1.6275158026426197,7.231241028193836e-08,-5.8698356957777134e-15
1.1,8,novel,64,30,-1.6275158735494868,1.4055432373538679e-09,-1.0586304503501102e-14
1.1,2,baseline_separate,2,2,-1.6086978069129776,0.018818068042052438,0.009745137886081555
1.1,2,baseline_dimer,2,2,-1.6086978069129776,0.018818068042052438,0.009745137886081555
1.1,3,baseline_separate,3,3,-1.6209267251409054,0.006589149814124617,0.0025542704220235515
1.1,3,baseline_dimer,3,3,-1.6209267251409054,0.006589149814124617,0.0025542704220235515
1.1,4,baseline_separate,4,4,-1.6260825045527794,0.0014333704022506666,0.0009492242679540879
1.1,4,baseline_dimer,4,4,-1.6260825045527794,0.0014333704022506666,0.0009492242679540879
1.1,5,baseline_separate,5,5,-1.6269687532404582,0.0005471217145718299,0.00020849120058045938
1.1,5,baseline_dimer,5,5,-1.6269687532404582,0.0005471217145718299,0.00020849120058045938
1.1,6,baseline_separate,6,6,-1.6273766302277473,0.00013924472728277237,5.9048493625508376e-05
1.1,6,baseline_dimer,6,6,-1.6273766302277473,0.00013924472728277237,5.9048493625508376e-05
1.1,7,baseline_separate,7,7,-1.6274546645888917,6.12103661383756e-05,1.7011048468245954e-05
1.1,7,baseline_dimer,7,7,-1.6274546645888917,6.12103661383756e-05,1.7011048468245954e-05
1.1,8,baseline_separate,8,8,-1.627512479081636,3.3958733940409047e-06,6.034805425605985e-06
1.1,8,baseline_dimer,8,8,-1.627512479081636,3.3958733940409047e-06,6.034805425605985e-06
1.1,9,baseline_separate,9,9,-1.6275154946051105,3.8034991955981923e-07,2.507329336885855e-07
1.1,9,baseline_dimer,9,9,-1.6275154946051105,3.8034991955981923e-07,2.507329336885855e-07
1.1,10,baseline_separate,10,10,-1.627515845971046,2.8983984101671467e-08,3.354736651454313e-08
1.1,10,baseline_dimer,10,10,-1.627515845971046,2.8983984101671467e-08,3.354736651454313e-08
1.1,11,baseline_separate,11,11,-1.6275158727676962,2.1873338695854727e-09,2.5819015198043913e-09
1.1,11,baseline_dimer,11,11,-1.6275158727676962,2.1873338695854727e-09,2.5819015198043913e-09
1.1,12,baseline_separate,12,12,-1.627515874955014,1.5987211554602254e-14,1.3772408359533952e-10
1.1,12,baseline_dimer,12,12,-1.627515874955014,1.5987211554602254e-14,1.3772408359533952e-10
1.1,13,baseline_separate,13,12,-1.6275158749550176,1.2434497875801753e-14,1.6064482696931367e-16
1.1,13,baseline_dimer,13,12,-1.6275158749550176,1.2434497875801753e-14,1.6064482696931367e-16
1.1,14,baseline_separate,14,12,-1.6275158749550247,5.329070518200751e-15,-1.4827666749573593e-16
1.1,14,baseline_dimer,14,12,-1.6275158749550247,5.329070518200751e-15,-1.4827666749573593e-16
1.1,15,baseline_separate,15,12,-1.6275158749550238,6.217248937900877e-15,-4.130826539194538e-16
1.1,15,baseline_dimer,15,12,-1.6275158749550238,6.217248937900877e-15,-4.130826539194538e-16
1.1,16,baseline_separate,16,12,-1.627515874955022,7.993605777301127e-15,-1.0974310519409498e-15
1.1,16,baseline_dimer,16,12,-1.627515874955022,7.993605777301127e-15,-1.0974310519409498e-15
