basis,R,N,procedure,basis_dim,gs_total,gs_err,delta_sc,s_min,eff_dim,delta_int,E_exact_tot,E_exact_sum,delta_exact,joint_dim,E_a,E_b,E_dimer
6-31g,1.1,2,novel,4,-1.7546752088388322,0.023803867470621576,0.5485534310356694,1.3659169120893248e-08,4,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,2,baseline_separate,2,-1.7596654495396056,0.018813626769848213,0.5435631903348961,0.0006460332434628513,2,0.5366654979410947,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1481654737403502,-1.1481654737403502,
6-31g,1.1,2,baseline_dimer,2,-1.7596654495396056,0.018813626769848213,0.007296600554710153,0.0006460332434628513,2,0.5362665897801859,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.2959320393197915
6-31g,1.1,3,novel,9,-1.7673683261573023,0.01111075015215146,0.5358603137171993,-6.455211660411998e-16,6,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,3,baseline_separate,3,-1.7706423061036647,0.007836770205789101,0.532586333770837,6.732287059753555e-06,3,0.5317641996033391,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.151203252853502,-1.151203252853502,
6-31g,1.1,3,baseline_dimer,3,-1.7706423061036647,0.007836770205789101,0.0014173916688164923,6.732287059753555e-06,3,0.5311689421020205,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.301811248205685
6-31g,1.1,4,novel,16,-1.7714409280656502,0.007038148243803555,0.5317877118088514,-1.7320778001168474e-15,10,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,4,baseline_separate,4,-1.7746954636729262,0.0037836126365276,0.5285331762015755,7.758240133402227e-08,4,0.5285305348917664,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516129992823463,-1.1516129992823463,
6-31g,1.1,4,baseline_dimer,4,-1.7746954636729262,0.0037836126365276,0.0004690940819864764,7.758240133402227e-08,4,0.528064082119589,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.302759545792515
6-31g,1.1,5,novel,25,-1.772665976291055,0.0058131000183987425,0.5305626635834466,-1.8129990010854378e-15,15,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,5,baseline_separate,5,-1.7766767478794216,0.0018023284300321407,0.52655189199508,1.0694770558850333e-09,5,0.5265518882456233,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143180625225,-1.1516143180625225,
6-31g,1.1,5,baseline_dimer,5,-1.7766767478794216,0.0018023284300321407,5.9544905967712225e-05,1.0694770558850333e-09,5,0.5264923470891123,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.303169094968534
6-31g,1.1,6,novel,36,-1.7728184707028856,0.005660605606568225,0.5304101691716161,-4.279970884267181e-15,18,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,6,baseline_separate,6,-1.7766552693718758,0.0018238069375779986,0.5265733705026259,2.062603927026114e-11,5,0.5265733659426859,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,1.1,6,baseline_dimer,6,-1.7766552693718758,0.0018238069375779986,3.109282378233047e-06,2.062603927026114e-11,5,0.5265702612202476,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032255305921234
6-31g,1.1,7,novel,49,-1.772862889528752,0.0056161867807018595,0.5303657503457497,-6.64860909076173e-15,19,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,7,baseline_separate,7,-1.7778443224257225,0.0006347538837312428,0.5253843174487791,1.977921223438567e-13,6,0.525384311694908,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,1.1,7,baseline_dimer,7,-1.7778443224257225,0.0006347538837312428,3.7239325401117185e-07,1.977921223438567e-13,6,0.5253839450555251,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032282674812476
6-31g,1.1,8,novel,64,-1.7729037987835259,0.005575277525927902,0.5303248410909758,-1.0104414873859711e-14,21,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,8,baseline_separate,8,-1.7778301775725849,0.0006488987368689081,0.5253984623019168,2.855744688162991e-15,6,0.5253984623019115,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,1.1,8,baseline_dimer,8,-1.7778301775725849,0.0006488987368689081,9.762206154562136e-09,2.855744688162991e-15,6,0.5253984525397106,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032286301122955
6-31g,10.0,2,novel,4,-2.2895405209495903,0.013688142951385096,0.013688118924911397,5.996476107078673e-08,4,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,2,baseline_separate,2,-2.296522964450554,0.006705699450421321,0.006705675423947621,0.001108433625355176,2,0.00019201696985371441,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1481654737403502,-1.1481654737403502,
6-31g,10.0,2,baseline_dimer,2,-2.296522964450554,0.006705699450421321,0.007296600554710153,0.001108433625355176,2,0.0005909251307625318,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.2959320393197915
6-31g,10.0,3,novel,9,-2.2990104250596914,0.004218238841283917,0.004218214814810217,1.0046508383207213e-15,7,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,3,baseline_separate,3,-2.301895703901292,0.001332959999683414,0.0013329359732097146,5.469876403604543e-06,3,0.0005108018057118358,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.151203252853502,-1.151203252853502,
6-31g,10.0,3,baseline_dimer,3,-2.301895703901292,0.001332959999683414,0.0014173916688164923,5.469876403604543e-06,3,8.445569560677768e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.301811248205685
6-31g,10.0,4,novel,16,-2.3009244422988444,0.0023042216021309514,0.002304197575657252,-1.4480510590072375e-16,11,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,4,baseline_separate,4,-2.3029010257935227,0.00032763810745262134,0.00032761408097892186,5.357188620902916e-08,4,0.00032497277116982914,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516129992823463,-1.1516129992823463,
6-31g,10.0,4,baseline_dimer,4,-2.3029010257935227,0.00032763810745262134,0.0004690940819864764,5.357188620902916e-08,4,0.00014148000100755453,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.302759545792515
6-31g,10.0,5,novel,25,-2.301607070011386,0.0016215938895891568,0.0016215698631154574,-1.1631471921778672e-15,16,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,5,baseline_separate,5,-2.303192396658645,3.6267242330190186e-05,3.624321585649071e-05,9.57646144287549e-10,5,3.6239466399745623e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143180625225,-1.1516143180625225,
6-31g,10.0,5,baseline_dimer,5,-2.303192396658645,3.6267242330190186e-05,5.9544905967712225e-05,9.57646144287549e-10,5,2.3301690111221518e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.303169094968534
6-31g,10.0,6,novel,36,-2.3016271400742645,0.00160152382671086,0.0016014998002371605,-5.733016143122008e-15,18,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,6,baseline_separate,6,-2.3031917083734297,3.695552754567899e-05,3.693150107197951e-05,7.877069445600009e-12,5,3.692694113199835e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,10.0,6,baseline_dimer,6,-2.3031917083734297,3.695552754567899e-05,3.109282378233047e-06,7.877069445600009e-12,5,3.3822218693746464e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032255305921234
6-31g,10.0,7,novel,49,-2.301643138593922,0.0015855253070533593,0.0015855012805796598,-7.614643113628609e-15,19,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,7,baseline_separate,7,-2.3031908998627473,3.776403822808305e-05,3.774001175438357e-05,2.2025407224669945e-14,5,3.773425788322626e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,10.0,7,baseline_dimer,7,-2.3031908998627473,3.776403822808305e-05,3.7239325401117185e-07,2.2025407224669945e-14,5,3.73676185003724e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032282674812476
6-31g,10.0,8,novel,64,-2.3019633081989994,0.0012653557019759454,0.001265331675502246,-9.11626225264801e-15,22,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,8,baseline_separate,8,-2.3032275600820986,1.1038188767464874e-06,1.0797924030470085e-06,1.1325785001755336e-15,6,1.079792397717938e-06,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,10.0,8,baseline_dimer,8,-2.3032275600820986,1.1038188767464874e-06,9.762206154562136e-09,1.1325785001755336e-15,6,1.0700301968924464e-06,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032286301122955
