R,N,procedure,E_int,E_int_exact,int_err
1000.0,2,novel,0.0,0.0,0.0
1000.0,3,novel,0.0,0.0,0.0
1000.0,4,novel,0.0,0.0,0.0
1000.0,5,novel,0.0,0.0,0.0
1000.0,6,novel,0.0,0.0,0.0
1000.0,7,novel,0.0,0.0,0.0
1000.0,8,novel,0.0,0.0,0.0
1000.0,2,baseline_separate,0.0,0.0,0.0
1000.0,3,baseline_separate,0.0,0.0,0.0
1000.0,4,baseline_separate,0.0,0.0,0.0
1000.0,5,baseline_separate,0.0,0.0,0.0
1000.0,6,baseline_separate,0.0,0.0,0.0
1000.0,7,baseline_separate,0.0,0.0,0.0
1000.0,8,baseline_separate,0.0,0.0,0.0
1000.0,2,baseline_dimer,0.0,0.0,0.0
1000.0,3,baseline_dimer,0.0,0.0,0.0
1000.0,4,baseline_dimer,0.0,0.0,0.0
1000.0,5,baseline_dimer,0.0,0.0,0.0
1000.0,6,baseline_dimer,0.0,0.0,0.0
1000.0,7,baseline_dimer,0.0,0.0,0.0
1000.0,8,baseline_dimer,0.0,0.0,0.0
100.0,2,novel,3.12361634637881e-05,5.79920556020852e-10,3.123558354323208e-05
100.0,3,novel,5.726424870733382e-06,5.79920556020852e-10,5.725844950177361e-06
100.0,4,novel,3.513192375237395e-06,5.79920556020852e-10,3.512612454681374e-06
100.0,5,novel,2.0129399229684708e-05,5.79920556020852e-10,2.0128819309128687e-05
100.0,6,novel,2.8722647987589056e-05,5.79920556020852e-10,2.8722068067033035e-05
100.0,7,novel,3.77281545138608e-05,5.79920556020852e-10,3.772757459330478e-05
100.0,8,novel,3.776551005918449e-05,5.79920556020852e-10,3.776493013862847e-05
100.0,2,baseline_separate,-9.31466870301989e-07,5.79920556020852e-10,9.320467908580099e-07
100.0,3,baseline_separate,-1.4433909623079444e-07,5.79920556020852e-10,1.449190167868153e-07
100.0,4,baseline_separate,-2.159640839494159e-07,5.79920556020852e-10,2.1654400450543676e-07
100.0,5,baseline_separate,-3.11384358298028e-08,5.79920556020852e-10,3.1718356385823654e-08
100.0,6,baseline_separate,-4.417337162720969e-08,5.79920556020852e-10,4.475329218323054e-08
100.0,7,baseline_separate,-2.293275347398094e-09,5.79920556020852e-10,2.873195903418946e-09
100.0,8,baseline_separate,-3.4857161601564712e-09,5.79920556020852e-10,4.065636716177323e-09
100.0,2,baseline_dimer,-9.31466870301989e-07,5.79920556020852e-10,9.320467908580099e-07
100.0,3,baseline_dimer,-1.4433909623079444e-07,5.79920556020852e-10,1.449190167868153e-07
100.0,4,baseline_dimer,-2.159640839494159e-07,5.79920556020852e-10,2.1654400450543676e-07
100.0,5,baseline_dimer,-3.11384358298028e-08,5.79920556020852e-10,3.1718356385823654e-08
100.0,6,baseline_dimer,-4.417337162720969e-08,5.79920556020852e-10,4.475329218323054e-08
100.0,7,baseline_dimer,-2.293275347398094e-09,5.79920556020852e-10,2.873195903418946e-09
100.0,8,baseline_dimer,-3.4857161601564712e-09,5.79920556020852e-10,4.065636716177323e-09
10.0,2,novel,0.002808936613158064,-2.3450992703288875e-08,0.0028089600641507673
10.0,3,novel,0.00014497346432396085,-2.3450992703288875e-08,0.00014499691531666414
10.0,4,novel,0.0012618599533991137,-2.3450992703288875e-08,0.001261883404391817
