N,procedure,delta_sep,sep_err
2,novel,0.648671820550506,0.0015756239987503307
3,novel,0.6472919963316199,0.00019579977986428077
4,novel,0.6471295337987151,3.333724695941953e-05
5,novel,0.6471003680779788,4.171526223117894e-06
6,novel,0.6470970796257198,8.830739641751961e-07
2,baseline_separate,0.6654113628352043,0.018315166283448647
3,baseline_separate,0.6536853463658705,0.0065891498141148475
4,baseline_separate,0.6485295669540019,0.0014333704022462257
5,baseline_separate,0.6476433182663257,0.0005471217145700535
6,baseline_separate,0.6472354412790313,0.00013924472727566695
2,baseline_dimer,0.6654113628352043,0.018315166283448647
3,baseline_dimer,0.6536853463658705,0.0065891498141148475
4,baseline_dimer,0.6485295669540019,0.0014333704022462257
5,baseline_dimer,0.6476433182663257,0.0005471217145700535
6,baseline_dimer,0.6472354412790313,0.00013924472727566695
