basis,R,N,procedure,basis_dim,eff_dim,gs_total,gs_err,s_min
sto-3g,1.1,2,novel,4,4,-1.6259402509562575,0.0015756239987680942,7.463510037491914e-05
sto-3g,1.1,3,novel,9,9,-1.6269270345630105,0.000588840392015122,7.390863217110526e-10
sto-3g,1.1,4,novel,16,13,-1.6272106464237215,0.00030522853130410255,2.9180303986321386e-16
sto-3g,1.1,5,novel,25,21,-1.6275111074260247,4.7675290009152604e-06,8.26001838310365e-17
sto-3g,1.1,6,novel,36,26,-1.6275158394232223,3.5531803277422114e-08,-2.877154838102198e-15
sto-3g,1.1,7,novel,49,28,-1.6275158725508962,2.4041293400500763e-09,-5.990910324929376e-15
sto-3g,1.1,8,novel,64,30,-1.6275158732443975,1.7106280836287624e-09,-1.0332652145641729e-14
sto-3g,1.1,2,baseline_separate,2,2,-1.6086978069129847,0.018818068042040892,0.009745137886081555
sto-3g,1.1,2,baseline_dimer,2,2,-1.6086978069129847,0.018818068042040892,0.009745137886081555
sto-3g,1.1,3,baseline_separate,3,3,-1.6209267251409125,0.006589149814113071,0.002554270422023924
sto-3g,1.1,3,baseline_dimer,3,3,-1.6209267251409125,0.006589149814113071,0.002554270422023924
sto-3g,1.1,4,baseline_separate,4,4,-1.6260825045527811,0.0014333704022444493,0.0009492242679545436
sto-3g,1.1,4,baseline_dimer,4,4,-1.6260825045527811,0.0014333704022444493,0.0009492242679545436
sto-3g,1.1,5,baseline_separate,5,5,-1.6269687532404555,0.0005471217145700535,0.0002084912005804088
sto-3g,1.1,5,baseline_dimer,5,5,-1.6269687532404555,0.0005471217145700535,0.0002084912005804088
sto-3g,1.1,6,baseline_separate,6,6,-1.6273766302277526,0.0001392447272730024,5.904849362576498e-05
sto-3g,1.1,6,baseline_dimer,6,6,-1.6273766302277526,0.0001392447272730024,5.904849362576498e-05
sto-3g,1.1,7,baseline_separate,7,7,-1.6274546645888899,6.121036613571107e-05,1.701104846859902e-05
sto-3g,1.1,7,baseline_dimer,7,7,-1.6274546645888899,6.121036613571107e-05,1.701104846859902e-05
sto-3g,1.1,8,baseline_separate,8,8,-1.6275124790816369,3.395873388711834e-06,6.034805425843159e-06
sto-3g,1.1,8,baseline_dimer,8,8,-1.6275124790816369,3.395873388711834e-06,6.034805425843159e-06
sto-3g,1.1,9,baseline_separate,9,9,-1.6275154946051202,3.803499053489645e-07,2.50732933862465e-07
sto-3g,1.1,9,baseline_dimer,9,9,-1.6275154946051202,3.803499053489645e-07,2.50732933862465e-07
sto-3g,1.1,10,baseline_separate,10,10,-1.627515845971046,2.898397966077937e-08,3.3547366421649276e-08
sto-3g,1.1,10,baseline_dimer,10,10,-1.627515845971046,2.898397966077937e-08,3.3547366421649276e-08
sto-3g,1.1,11,baseline_separate,11,11,-1.6275158727677237,2.1873018951623635e-09,2.5819013583638283e-09
sto-3g,1.1,11,baseline_dimer,11,11,-1.6275158727677237,2.1873018951623635e-09,2.5819013583638283e-09
sto-3g,1.1,12,baseline_separate,12,12,-1.6275158749550336,7.993605777301127e-15,1.3772386753487616e-10
sto-3g,1.1,12,baseline_dimer,12,12,-1.6275158749550336,7.993605777301127e-15,1.3772386753487616e-10
sto-3g,1.1,13,baseline_separate,13,12,-1.6275158749550203,5.329070518200751e-15,-1.364439325435194e-16
sto-3g,1.1,13,baseline_dimer,13,12,-1.6275158749550203,5.329070518200751e-15,-1.364439325435194e-16
sto-3g,1.1,14,baseline_separate,14,12,-1.6275158749550238,1.7763568394002505e-15,-3.5423711112911623e-16
sto-3g,1.1,14,baseline_dimer,14,12,-1.6275158749550238,1.7763568394002505e-15,-3.5423711112911623e-16
sto-3g,1.1,15,baseline_separate,15,12,-1.6275158749550291,3.552713678800501e-15,-4.207234568483105e-16
sto-3g,1.1,15,baseline_dimer,15,12,-1.6275158749550291,3.552713678800501e-15,-4.207234568483105e-16
sto-3g,1.1,16,baseline_separate,16,12,-1.6275158749550256,0.0,-5.99162749739334e-16
sto-3g,1.1,16,baseline_dimer,16,12,-1.6275158749550256,0.0,-5.99162749739334e-16
